Xmin	Xmax	Ymin	Ymax	Zmin	Zmax
-0.153094	2.15309	-0.153094	2.15309	0.846906	9.45928	
x	y	z	U	V	W	Ro	P	Vol	Num
0.390604	0.439792	1.11259	-0.355725	-0.363858	11.2589	3964.14	10894.4	0.000501002	2
0.440516	0.439475	1.11194	-0.291469	-0.395644	11.1942	4696.93	13092.8	0.000501002	2
0.44213	0.440235	1.10301	-0.130133	-0.31965	5.37418	3723.76	10173.3	0.000501002	2
0.441536	0.439377	1.10474	-0.189471	-0.40536	0.619738	3056.87	8172.61	0.000501002	2
0.440712	0.438733	1.14966	-0.271947	-0.46976	0.185444	2314.27	5944.82	0.000501002	2
0.341263	0.490551	1.11246	-0.362773	-0.214987	11.2457	3828.46	10487.4	0.000501002	2
0.34094	0.541804	1.11184	-0.395058	-0.0167345	11.1837	4165.83	11499.5	0.000501002	2
0.341212	0.542129	1.10474	-0.367897	0.0158111	5.54718	2878.89	7638.67	0.000501002	2
0.34114	0.592972	1.11235	-0.375089	0.173095	11.2349	3832.5	10499.5	0.000501002	2
0.390361	0.490558	1.1113	-0.380014	-0.214318	11.1301	5046.46	14141.4	0.000501002	2
0.391944	0.490963	1.10249	-0.221727	-0.173792	5.3216	4045.97	11139.9	0.000501002	2
0.390845	0.49066	1.10491	-0.331599	-0.204088	0.637294	3283.09	8851.26	0.000501002	2
0.389738	0.489943	1.15023	-0.442254	-0.275786	0.24194	2338.39	6017.16	0.000501002	2
0.390321	0.541647	1.11106	-0.383978	-0.0323909	11.1062	5468.31	15406.9	0.000501002	2
0.392426	0.54194	1.10201	-0.173511	-0.00312705	5.27399	4549.72	12651.2	0.000501002	2
0.391744	0.54256	1.10472	-0.241679	0.0588743	0.617677	3809.9	10431.7	0.000501002	2
0.390292	0.542338	1.14961	-0.386931	0.0366627	0.179658	2810.51	7433.52	0.000501002	2
0.390249	0.592778	1.11129	-0.39121	0.153686	11.1294	5050.15	14152.5	0.000501002	2
