Xmin	Xmax	Ymin	Ymax	Zmin	Zmax
-0.153094	2.15309	-0.153094	2.15309	0.846906	9.45928	
x	y	z	U	V	W	Ro	P	Vol	Num
0	0.676712	0.846906	0	0	0	2600	101325	0.000384615	0
0	0.676712	0.89202	0	0	0	2600	101325	0.000384615	0
0	0.676712	0.937135	0	0	0	2600	101325	0.000384615	0
0	0.676712	0.982249	0	0	0	2600	101325	0.000384615	0
0	0.721826	0.846906	0	0	0	2600	101325	0.000384615	0
0	0.721826	0.89202	0	0	0	2600	101325	0.000384615	0
0	0.721826	0.937135	0	0	0	2600	101325	0.000384615	0
0	0.721826	0.982249	0	0	0	2600	101325	0.000384615	0
0.0451141	0.496256	0.846906	0	0	0	2600	101325	0.000384615	0
0.0451141	0.496256	0.89202	0	0	0	2600	101325	0.000384615	0
0.0451141	0.496256	0.937135	0	0	0	2600	101325	0.000384615	0
0.0451141	0.496256	0.982249	0	0	0	2600	101325	0.000384615	0
0.0451141	0.54137	0.846906	0	0	0	2600	101325	0.000384615	0
0.0451141	0.54137	0.89202	0	0	0	2600	101325	0.000384615	0
0.0451141	0.54137	0.937135	0	0	0	2600	101325	0.000384615	0
0.0451141	0.54137	0.982249	0	0	0	2600	101325	0.000384615	0
0.0451141	0.586484	0.846906	0	0	0	2600	101325	0.000384615	0
0.0451141	0.586484	0.89202	0	0	0	2600	101325	0.000384615	0
0.0451141	0.586484	0.937135	0	0	0	2600	101325	0.000384615	0
0.0451141	0.586484	0.982249	0	0	0	2600	101325	0.000384615	0
0.0451141	0.631598	0.846906	0	0	0	2600	101325	0.000384615	0
0.0451141	0.631598	0.89202	0	0	0	2600	101325	0.000384615	0
0.0451141	0.631598	0.937135	0	0	0	2600	101325	0.000384615	0
0.0451141	0.631598	0.982249	0	0	0	2600	101325	0.000384615	0
0.0451141	0.676712	0.846906	0	0	0	2600	101325	0.000384615	0
0.0451141	0.676712	0.89202	0	0	0	2600	101325	0.000384615	0
0.0451141	0.676712	0.937135	0	0	0	2600	101325	0.000384615	0
0.0451141	0.676712	0.982249	0	0	0	2600	101325	0.000384615	0
0.0451141	0.721826	0.846906	0	0	0	2600	101325	0.000384615	0
0.0451141	0.721826	0.89202	0	0	0	2600	101325	0.000384615	0
0.0451141	0.721826	0.937135	0	0	0	2600	101325	0.000384615	0
0.0451141	0.721826	0.982249	0	0	0	2600	101325	0.000384615	0
0.0902283	0.496256	0.846906	0	0	0	2600	101325	0.000384615	0
0.0902283	0.496256	0.89202	0	0	0	2600	101325	0.000384615	0
0.0902283	0.496256	0.937135	0	0	0	2600	101325	0.000384615	0
0.0902283	0.496256	0.982249	0	0	0	2600	101325	0.000384615	0
0.0902283	0.54137	0.846906	0	0	0	2600	101325	0.000384615	0
0.0902283	0.54137	0.89202	0	0	0	2600	101325	0.000384615	0
0.0902283	0.54137	0.937135	0	0	0	2600	101325	0.000384615	0
0.0902283	0.54137	0.982249	0	0	0	2600	101325	0.000384615	0
0.0902283	0.586484	0.846906	0	0	0	2600	101325	0.000384615	0
0.0902283	0.586484	0.89202	0	0	0	2600	101325	0.000384615	0
0.0902283	0.586484	0.937135	0	0	0	2600	101325	0.000384615	0
0.0902283	0.586484	0.982249	0	0	0	2600	101325	0.000384615	0
0.0902283	0.631598	0.846906	0	0	0	2600	101325	0.000384615	0
0.0902283	0.631598	0.89202	0	0	0	2600	101325	0.000384615	0
0.0902283	0.631598	0.937135	0	0	0	2600	101325	0.000384615	0
0.0902283	0.631598	0.982249	0	0	0	2600	101325	0.000384615	0
0.0902283	0.676712	0.846906	0	0	0	2600	101325	0.000384615	0
0.0902283	0.676712	0.89202	0	0	0	2600	101325	0.000384615	0
0.0902283	0.676712	0.937135	0	0	0	2600	101325	0.000384615	0
0.0902283	0.676712	0.982249	0	0	0	2600	101325	0.000384615	0
0.0902283	0.721826	0.846906	0	0	0	2600	101325	0.000384615	0
0.0902283	0.721826	0.89202	0	0	0	2600	101325	0.000384615	0
0.0902283	0.721826	0.937135	0	0	0	2600	101325	0.000384615	0
0.0902283	0.721826	0.982249	0	0	0	2600	101325	0.000384615	0
0.135342	0.496256	0.846906	0	0	0	2600	101325	0.000384615	0
0.135342	0.496256	0.89202	0	0	0	2600	101325	0.000384615	0
0.135342	0.496256	0.937135	0	0	0	2600	101325	0.000384615	0
0.135342	0.496256	0.982249	0	0	0	2600	101325	0.000384615	0
0.135342	0.54137	0.846906	0	0	0	2600	101325	0.000384615	0
0.135342	0.54137	0.89202	0	0	0	2600	101325	0.000384615	0
0.135342	0.54137	0.937135	0	0	0	2600	101325	0.000384615	0
0.135342	0.54137	0.982249	0	0	0	2600	101325	0.000384615	0
