Xmin	Xmax	Ymin	Ymax	Zmin	Zmax
-0.153094	2.15309	-0.153094	2.15309	0.846906	9.45928	
x	y	z	U	V	W	Ro	P	Vol	Num
0.417565	0.39504	1.11324	-1.09047	-1.91764	-0.0676743	1021.18	2065.55	0.000501002	2
0.350681	0.391895	1.52753	-1.71684	-2.12559	13.7767	685.918	1059.75	0.000501002	2
0.410576	0.390704	1.52695	-1.29668	-2.24877	13.7675	1019.77	2061.32	0.000501002	2
0.417464	0.396228	1.29011	-1.25596	-2.03838	6.24172	1413.6	3242.8	0.000501002	2
0.412325	0.389815	1.15425	-1.29155	-2.1273	0.0727921	1109.33	2329.98	0.000501002	2
0.399666	0.450237	1.40467	-1.63769	-1.6085	0.493438	1516.68	3552.05	0.000501002	2
0.353715	0.465483	1.11291	-1.65617	-1.1005	-0.0525987	972.217	1918.65	0.000501002	2
0.361095	0.541975	1.10982	-1.40037	-0.0484036	-0.166451	1236.15	2710.46	0.000501002	2
0.355418	0.545111	1.14601	-1.57226	0.0952072	-0.368171	1398.89	3198.67	0.000501002	2
0.353837	0.619408	1.11208	-1.66641	1.07434	-0.0684094	968.118	1906.35	0.000501002	2
0.432583	0.480546	1.10945	-0.552538	-0.547713	-0.154563	1783.9	4353.69	0.000501002	2
0.431381	0.47585	1.14406	-0.554984	-0.703567	-0.420108	2133.78	5403.34	0.000501002	2
0.437872	0.542361	1.1083	-0.400466	-0.0286443	-0.180557	2028.45	5087.34	0.000501002	2
0.438734	0.543636	1.14021	-0.325006	0.0312809	-0.554697	2484.29	6454.88	0.000501002	2
0.432961	0.603101	1.10856	-0.539502	0.454902	-0.182281	1782.31	4348.92	0.000501002	2
0.431436	0.610842	1.14471	-0.54935	0.729226	-0.394515	2108.59	5327.77	0.000501002	2
0.419042	0.689781	1.11159	-1.05346	1.90436	-0.0689397	1023.5	2072.51	0.000501002	2
0.346698	0.54208	1.22241	-1.88448	0.018988	0.710805	1686.38	4061.13	0.000501002	2
0.338671	0.542552	1.27566	-2.09526	0.0323194	1.26279	1552.84	3660.52	0.000501002	2
0.420365	0.464666	1.21209	-0.955417	-1.13548	0.361251	2453	6360.99	0.000501002	2
0.409174	0.458395	1.25422	-1.33878	-1.34696	0.347087	2363.25	6091.75	0.000501002	2
0.405108	0.456434	1.29618	-1.43746	-1.36147	0.0767676	1931.42	4796.25	0.000501002	2
0.40341	0.453166	1.34359	-1.47687	-1.48309	-0.0216621	1323.65	2972.95	0.000501002	2
0.43203	0.541051	1.20777	-0.509837	-0.0470393	0.224013	3102.66	8309.98	0.000501002	2
0.421458	0.542165	1.25325	-0.835925	0.0105575	0.36215	3154.52	8465.57	0.000501002	2
0.408729	0.540933	1.29576	-1.25416	-0.0554727	0.0836886	2500.67	6504	0.000501002	2
0.401353	0.54057	1.34178	-1.53345	-0.0699862	-0.1034	1663.49	3992.47	0.000501002	2
0.396155	0.540766	1.39618	-1.74868	-0.0530268	0.10974	1794.42	4385.27	0.000501002	2
0.390115	0.541882	1.44987	-1.98728	0.00147953	0.326743	2007.08	5023.25	0.000501002	2
0.421213	0.61722	1.21344	-0.917258	1.01743	0.432749	2454.56	6365.67	0.000501002	2
0.41007	0.625019	1.25535	-1.29802	1.30554	0.408592	2332.68	6000.05	0.000501002	2
0.406016	0.627761	1.29647	-1.39348	1.36456	0.0892724	1893.09	4681.28	0.000501002	2
0.404582	0.630444	1.34356	-1.42153	1.44042	-0.0291939	1310.47	2933.4	0.000501002	2
0.401174	0.633234	1.40437	-1.56853	1.55421	0.505584	1496.28	3490.84	0.000501002	2
0.292058	0.458276	1.52587	-2.1482	-1.41292	13.6875	654.165	964.496	0.000501002	2
0.288205	0.612362	1.52343	-2.33445	0.788162	13.5941	633.466	902.398	0.000501002	2
0.347754	0.462919	1.51966	-1.94218	-1.21967	13.4787	1230.08	2692.24	0.000501002	2
0.35048	0.53343	1.51575	-1.863	-0.402951	13.3445	1509.7	3531.1	0.000501002	2
0.345529	0.604548	1.51967	-2.03907	0.43204	13.4784	1239.71	2721.13	0.000501002	2
