Xmin	Xmax	Ymin	Ymax	Zmin	Zmax
-0.153094	2.15309	-0.153094	2.15309	0.846906	9.45928	
x	y	z	U	V	W	Ro	P	Vol	Num
0.437861	0.431155	1.16552	-0.426896	-0.907941	6.25064	3319.11	8959.33	0.000501002	2
0.436562	0.429406	1.11124	-0.497416	-0.997147	0.650469	2634.78	6906.34	0.000501002	2
0.434903	0.428007	1.15289	-0.58083	-1.07269	0.322138	3361.7	9087.1	0.000501002	2
0.381594	0.429538	1.25117	-0.900933	-1.02545	13.8579	1978.29	4936.86	0.000501002	2
0.433937	0.429529	1.25034	-0.657916	-0.994542	13.8399	3222.57	8669.7	0.000501002	2
0.329497	0.541622	1.17027	-1.17148	-0.050759	6.55261	2201.43	5606.29	0.000501002	2
0.385243	0.485419	1.16397	-0.670047	-0.554455	6.14793	3545.43	9638.3	0.000501002	2
0.38288	0.485196	1.11103	-0.796535	-0.546417	0.611617	2807.52	7424.55	0.000501002	2
0.380739	0.483647	1.15351	-0.899929	-0.629607	0.327713	3626.75	9882.26	0.000501002	2
0.386622	0.540789	1.16256	-0.580414	-0.115114	6.05547	4174.46	11525.4	0.000501002	2
0.385459	0.542661	1.11025	-0.628512	0.010098	0.553307	3343.5	9032.51	0.000501002	2
0.382908	0.54319	1.15166	-0.73837	0.0852472	0.205292	4363.46	12092.4	0.000501002	2
0.384807	0.596689	1.16376	-0.712583	0.362151	6.12729	3556.88	9672.65	0.000501002	2
0.38321	0.600102	1.11071	-0.788049	0.571639	0.58663	2795.4	7388.19	0.000501002	2
0.381306	0.602885	1.15369	-0.862999	0.808917	0.344614	3597.6	9794.81	0.000501002	2
0.439777	0.489145	1.16167	-0.307608	-0.274812	6.02143	5023.49	14072.5	0.000501002	2
0.441645	0.489866	1.10954	-0.174799	-0.21435	0.532046	4095.45	11288.4	0.000501002	2
0.440529	0.48816	1.15052	-0.18907	-0.308673	0.13887	5368.15	15106.5	0.000501002	2
0.441233	0.541053	1.16111	-0.20398	-0.0875254	5.98769	5545.92	15639.8	0.000501002	2
0.443688	0.542719	1.10906	-0.0394367	0.0223178	0.50288	4499.1	12499.3	0.000501002	2
0.443132	0.542843	1.14915	-0.0121105	0.0597989	0.0488604	5973.8	16923.4	0.000501002	2
0.439794	0.593025	1.16143	-0.305042	0.103818	6.00232	5041.88	14127.6	0.000501002	2
0.441786	0.59519	1.10933	-0.165141	0.235195	0.512944	4085.47	11258.4	0.000501002	2
0.440504	0.597518	1.1507	-0.189531	0.427176	0.151719	5338.1	15016.3	0.000501002	2
0.437369	0.651474	1.16332	-0.479101	0.777394	6.108	3319.67	8961	0.000501002	2
0.437313	0.655562	1.11016	-0.463497	1.01779	0.56001	2610.78	6834.35	0.000501002	2
0.435892	0.658322	1.15317	-0.508723	1.24618	0.302629	3314.44	8945.33	0.000501002	2
0.379282	0.541967	1.20615	-0.989909	-0.00026435	0.745369	3565.25	9697.76	0.000501002	2
0.376325	0.542038	1.25342	-1.21894	0.00665061	0.599506	2008.07	5026.22	0.000501002	2
0.436559	0.484397	1.20254	-0.427938	-0.567297	0.46189	4533.52	12602.6	0.000501002	2
0.432741	0.482437	1.24795	-0.719493	-0.696197	0.167624	2880.6	7643.79	0.000501002	2
0.431073	0.481038	1.29512	-0.852282	-0.797271	-0.0230203	1963.27	4891.8	0.000501002	2
0.430516	0.479812	1.34355	-0.893563	-0.886743	-0.0907103	1688.78	4068.35	0.000501002	2
0.429732	0.479084	1.39641	-0.948985	-0.938645	0.156415	1473.09	3421.27	0.000501002	2
0.440114	0.541835	1.20082	-0.183398	-0.0112079	0.344564	5227.62	14684.9	0.000501002	2
0.435948	0.541859	1.2472	-0.49897	-0.00808375	0.11133	3483.76	9453.27	0.000501002	2
0.431901	0.541792	1.29473	-0.793004	-0.0136103	-0.0557264	2530.24	6592.73	0.000501002	2
0.429822	0.541683	1.34309	-0.939491	-0.0231836	-0.124221	2240.31	5722.92	0.000501002	2
