x	y	z	U	V	W	Ro	P	
0.100598	0.10058	1.00922	-0.0755633	-0.0764674	0.314281	2664.67	8323.33	
0.100174	0.100149	1.03838	-0.0956788	-0.0968948	0.189093	2655.84	8279.18	
0.100535	0.100514	1.0702	-0.0767897	-0.0778644	0.0833115	2598.23	7991.13	
0.100519	0.100486	1.10327	-0.0765576	-0.0781906	0.0317854	2580.75	7903.75	
0.100913	0.135195	1.00806	-0.0583752	-0.0719967	0.267033	2393.45	6967.24	
0.100526	0.136446	1.03858	-0.0777306	-0.018021	0.196661	2361.4	6806.98	
0.100966	0.135724	1.07038	-0.0549243	-0.0466276	0.0915757	2291.98	6459.91	
0.100982	0.135787	1.10327	-0.053757	-0.0442226	0.0329802	2270.97	6354.85	
0.135466	0.101255	1.0081	-0.0567756	-0.043446	0.270437	2365.12	6825.62	
0.137102	0.100599	1.03875	0.0139912	-0.0737015	0.203441	2326.7	6633.48	
0.136354	0.101205	1.07049	-0.0139668	-0.0446996	0.0966933	2252.39	6261.94	
0.136422	0.101171	1.10334	-0.011509	-0.0456933	0.036502	2230.33	6151.64	
0.135459	0.135026	1.00742	-0.0543769	-0.0763055	0.244638	1996.95	4984.74	
0.137094	0.136362	1.03935	0.0157275	-0.0207701	0.229315	1923.64	4618.19	
0.13664	0.135854	1.07089	0.00170411	-0.0378646	0.115695	1844.05	4220.23	
0.136819	0.135948	1.10349	0.00928982	-0.0344035	0.045405	1816.87	4084.34	
0.100535	0.100451	1.13717	-0.0767694	-0.08096	0.0166067	2573.83	7869.17	
0.100527	0.1005	1.17111	-0.0761443	-0.0774696	0.00435706	2574.61	7873.06	
0.10053	0.100497	1.20523	-0.0760544	-0.0777025	0.000465398	2573.82	7869.09	
0.100522	0.100493	1.23942	-0.0764379	-0.0779089	-0.000430376	2574	7869.99	
0.100555	0.100523	1.27365	-0.0747827	-0.0764158	0.000859608	2571.33	7856.64	
0.101031	0.135592	1.13703	-0.0517064	-0.0525626	0.0106601	2261.23	6306.13	
0.101051	0.135609	1.17109	-0.0506886	-0.0518216	0.00357088	2260.49	6302.45	
0.101045	0.13559	1.20523	-0.0510258	-0.052658	0.000336014	2259.71	6298.55	
0.101033	0.135583	1.2394	-0.0516063	-0.0530526	-0.00129931	2260.47	6302.36	
0.101032	0.13569	1.27349	-0.0512594	-0.0487556	-0.00573345	2258.27	6291.36	
0.136453	0.101238	1.13718	-0.00848301	-0.0428985	0.0177592	2213.23	6066.17	
0.136383	0.101322	1.171	-0.0119062	-0.0389665	-0.000954373	2212.56	6062.82	
0.136254	0.101288	1.20522	-0.0182749	-0.0406278	-0.000344585	2216.85	6084.27	
