x	y	z	U	V	W	Ro	P	
0.10072	0.100136	1.00917	0.00609279	-0.0222144	-0.00258112	2613.66	8068.3	
0.099296	0.0986871	1.04272	-0.0438864	-0.0731133	0.216858	2703.18	8515.9	
0.100432	0.0997195	1.07398	-0.00513827	-0.03971	0.188932	2669.88	8349.39	
0.100531	0.0997628	1.10586	0.000609463	-0.0361687	0.129265	2640.07	8200.35	
0.102538	0.133548	1.00816	0.0812786	-0.0823429	0.00509729	2249.65	6248.25	
0.101299	0.135487	1.04257	0.0386652	-0.0479196	0.199221	2300.4	6502.02	
0.102304	0.134848	1.07417	0.0669312	-0.0437981	0.189469	2276.58	6382.88	
0.102511	0.13514	1.10608	0.0764561	-0.0323261	0.140096	2246.72	6233.59	
0.138435	0.10295	1.00898	0.148435	0.0847332	0.0439227	2110.34	5551.7	
0.141435	0.101544	1.04301	0.216661	0.0472306	0.212754	2127.29	5636.43	
0.141107	0.102483	1.07442	0.237655	0.0638991	0.196937	2101	5504.98	
0.14153	0.102512	1.10645	0.255368	0.0670098	0.155623	2072.27	5361.35	
0.14017	0.135108	1.0091	0.235557	0.0040618	0.0841744	1662.86	3314.3	
0.143566	0.136701	1.04424	0.323586	0.016911	0.244374	1610.88	3054.41	
0.143692	0.1367	1.07555	0.352601	0.0423177	0.233089	1622.7	3113.51	
0.144498	0.136934	1.10749	0.383977	0.0493054	0.199802	1599.39	2996.96	
0.100895	0.0996974	1.13826	0.0179999	-0.0376969	0.054296	2616.01	8080.04	
0.100792	0.0999955	1.17165	0.0132437	-0.0252399	0.0268385	2602.28	8011.4	
0.100796	0.0999558	1.2054	0.0133231	-0.0270604	0.00823066	2598.28	7991.42	
0.100754	0.0999478	1.2395	0.0115862	-0.0272478	0.00403035	2596.96	7984.79	
0.10089	0.100061	1.27375	0.0167403	-0.0230839	0.00512309	2590.79	7953.93	
0.103034	0.134655	1.13816	0.10013	-0.0468291	0.056566	2212.81	6064.07	
0.102915	0.134804	1.17164	0.0931864	-0.0402416	0.0274753	2196.57	5982.87	
0.102929	0.134761	1.20539	0.0942308	-0.0414748	0.00818018	2191.68	5958.41	
0.102896	0.134737	1.23941	0.0931783	-0.042289	0.000257134	2189.87	5949.36	
0.103	0.134866	1.27346	0.0984198	-0.0411952	-0.00153523	2185.8	5928.99	
0.142041	0.102648	1.13877	0.279401	0.0705215	0.0797251	2036.49	5182.47	
0.141872	0.102993	1.17157	0.274493	0.0835836	0.0282124	2019.66	5098.31	
0.141627	0.102979	1.20528	0.26867	0.0845319	0.00306674	2014.25	5071.26	
0.141547	0.102989	1.23923	0.265137	0.085282	-0.00786093	2013.75	5068.74	
0.141498	0.103081	1.27355	0.259191	0.0912007	0.00264748	2010.45	5052.26	
0.145076	0.136764	1.13917	0.412347	0.0510843	0.10128	1565.73	2828.63	
0.144851	0.136918	1.17168	0.403977	0.0581168	0.0356123	1552.02	2760.12	
0.144707	0.136874	1.20518	0.40393	0.0578965	-0.000474352	1540.56	2702.79	
0.144673	0.136865	1.23901	0.402489	0.0574938	-0.016225	1536.84	2684.21	
0.144803	0.136838	1.27334	0.403126	0.0502568	-0.000380434	1533.89	2669.45	
0.101359	0.100147	1.30756	0.0376609	-0.0186508	-0.0177779	2583.66	7918.3	
0.100872	0.100054	1.34205	0.0174287	-0.0221494	8.91839e-05	2584.74	7923.68	
0.101118	0.100269	1.37698	0.0290585	-0.0118009	0.0358828	2554.14	7770.71	
0.102494	0.10163	1.41483	0.0902192	0.0490804	0.198991	2409.37	7046.87	
0.103645	0.134733	1.30718	0.126204	-0.0422583	-0.0270846	2171.72	5858.6	
0.10311	0.134809	1.34194	0.103057	-0.0395597	-0.00344844	2169.03	5845.14	
0.103525	0.134869	1.37737	0.123199	-0.035447	0.0553398	2125.48	5627.39	
0.105296	0.135834	1.41646	0.201061	0.00197177	0.274179	1950.66	4753.28	
0.142333	0.103216	1.30761	0.29385	0.0948963	-0.012263	1997.55	4987.74	
0.141904	0.10319	1.34181	0.276579	0.0932319	-0.00531347	1994.84	4974.21	
0.141568	0.103619	1.37727	0.266717	0.115069	0.0509371	1956.58	4782.91	
0.14234	0.105088	1.41641	0.292698	0.179956	0.269557	1802.63	4013.16	
0.145552	0.137037	1.30737	0.435306	0.0647101	-0.0175399	1523.94	2619.68	
0.145096	0.137029	1.34178	0.416274	0.0640829	-0.00248271	1517.16	2585.82	
0.145037	0.137234	1.37826	0.420823	0.076088	0.0984475	1464.39	2321.95	
0.146275	0.13871	1.41954	0.462714	0.131375	0.400639	1309.57	1547.85	
0.104862	0.103493	1.45992	0.16536	0.100599	0.543875	2148.16	5740.78	
0.109853	0.108668	1.51317	0.213922	0.15797	0.718521	1686.1	3430.51	
0.107819	0.135777	1.46409	0.267978	0.0317836	0.661338	1689.6	3448	
0.111338	0.141019	1.51859	0.238027	0.163563	0.853862	1367.97	1839.83	
0.142677	0.107205	1.46381	0.338905	0.21597	0.631909	1571.5	2857.49	
0.147216	0.110548	1.51667	0.419134	0.200372	0.785642	1311.89	1559.43	
0.147659	0.139856	1.46989	0.535216	0.203891	0.796547	1164.02	820.103	
0.103445	0.167509	1.00818	0.121103	-0.115958	0.0161626	2225.56	6127.78	
0.101782	0.17047	1.04216	0.0734106	-0.0542601	0.185703	2283.83	6419.16	
0.103003	0.169669	1.07459	0.105523	-0.0540628	0.202449	2255.52	6277.6	
0.103321	0.16961	1.10667	0.116567	-0.0478074	0.15593	2220.41	6102.06	
0.102599	0.202625	1.00789	0.090608	-0.0916648	0.00274722	2243.98	6219.92	
0.101482	0.205715	1.04199	0.0515332	-0.0163371	0.183106	2287.07	6435.37	
0.102431	0.204782	1.07437	0.0788818	-0.0258179	0.195117	2263.18	6315.92	
0.102742	0.204887	1.10633	0.0933755	-0.0140342	0.144521	2228.53	6142.67	
0.102607	0.237399	1.00779	0.0910879	-0.0702591	-0.000133419	2253.07	6265.37	
0.101377	0.240528	1.04195	0.048436	0.00689928	0.18053	2297.72	6488.61	
0.102389	0.239599	1.07432	0.0779437	-0.00243924	0.193675	2273.49	6367.43	
0.102709	0.239657	1.10639	0.092279	0.00728873	0.146421	2238.59	6192.93	
