x	y	z	U	V	W	Ro	P	
0.102399	0.10074	1.00898	0.107281	0.0311091	-0.0342737	2541.67	7708.35	
0.100685	0.0989584	1.04359	0.0670191	-0.0120048	0.134458	2623.3	8116.49	
0.102075	0.100033	1.07584	0.0981558	0.00413872	0.19428	2598.53	7992.64	
0.102169	0.100084	1.10769	0.101112	0.00656937	0.169653	2582.97	7914.86	
0.105152	0.133516	1.00845	0.198541	-0.034861	0.00413618	2131.23	5656.15	
0.104202	0.135274	1.04338	0.195733	-0.0351238	0.120411	2142.83	5714.16	
0.105139	0.134929	1.07582	0.201604	-0.0124616	0.181063	2137.65	5688.24	
0.105366	0.135401	1.1079	0.207396	0.00398574	0.174846	2125.66	5628.3	
0.142877	0.104461	1.00964	0.345063	0.135648	0.045689	1970.48	4852.42	
0.146409	0.103224	1.0439	0.401555	0.131394	0.132161	1950.48	4752.42	
0.146293	0.103813	1.07604	0.427414	0.113519	0.18182	1951.51	4757.57	
0.146909	0.103835	1.10839	0.448425	0.114702	0.188675	1942.29	4711.43	
0.145702	0.136417	1.0102	0.453416	0.0895085	0.0960342	1547.36	2736.78	
0.150253	0.137886	1.0456	0.557373	0.0808	0.171654	1457.65	2288.26	
0.150483	0.138041	1.07752	0.577553	0.103955	0.217804	1493.95	2469.76	
0.151625	0.138281	1.1098	0.612612	0.108034	0.231839	1494.88	2474.38	
0.102973	0.100098	1.13925	0.136583	0.0111456	0.083028	2552.75	7763.76	
0.102714	0.100552	1.17225	0.124452	0.0259797	0.0480476	2528.14	7640.72	
0.102784	0.100507	1.20566	0.128066	0.0247339	0.0193703	2520.08	7600.42	
0.102745	0.100521	1.23962	0.127387	0.0258888	0.00903382	2515.78	7578.92	
0.102894	0.100639	1.27375	0.130627	0.0281169	0.00276729	2509.88	7549.42	
0.106402	0.134761	1.13929	0.25062	-0.0115833	0.0934029	2084.72	5423.61	
0.105997	0.135102	1.1723	0.230184	0.00290564	0.0516372	2061.62	5308.08	
0.106145	0.135055	1.20569	0.238344	0.002138	0.0212167	2050.54	5252.68	
0.106161	0.135036	1.23947	0.240618	0.00207142	0.00427381	2043.74	5218.71	
0.106302	0.135144	1.27341	0.245427	0.000984505	-0.00294984	2040.74	5203.68	
0.147734	0.103932	1.14004	0.478022	0.114006	0.112798	1913.08	4565.42	
0.147617	0.104412	1.17236	0.479116	0.128428	0.0612229	1882.75	4413.77	
0.147456	0.104511	1.20545	0.482413	0.135803	0.0112373	1867.54	4337.7	
0.147363	0.104585	1.23912	0.479668	0.139859	-0.0104281	1860.16	4300.81	
0.147159	0.104747	1.27349	0.467605	0.146964	-0.00165147	1858.49	4292.46	
0.152498	0.138149	1.14091	0.643131	0.112307	0.152579	1477.99	2389.95	
0.152185	0.138469	1.17268	0.634725	0.12581	0.077687	1457.95	2289.74	
0.15225	0.138528	1.20539	0.648552	0.131872	0.0114258	1435.21	2176.04	
0.152295	0.138565	1.23883	0.652207	0.134199	-0.0187304	1421.06	2105.32	
0.152445	0.138439	1.2732	0.653327	0.124108	-0.00806235	1420.08	2100.4	
0.103801	0.100926	1.30723	0.167553	0.042508	-0.0294855	2487.91	7439.54	
0.103026	0.100807	1.34212	0.139761	0.0386417	0.00313019	2483.33	7416.63	
0.103575	0.101349	1.37822	0.163689	0.063023	0.0896721	2418.87	7094.33	
0.10577	0.103619	1.41875	0.242618	0.14706	0.329704	2209.44	6047.19	
0.107474	0.135095	1.30689	0.290634	0.00546154	-0.0306812	2007.55	5037.76	
0.10662	0.13522	1.34212	0.259882	0.00965485	0.00798549	1993.96	4969.81	
0.107469	0.135467	1.3793	0.296554	0.0227722	0.139638	1909.64	4548.21	
0.109933	0.13713	1.42138	0.377211	0.0812316	0.425782	1689.92	3449.61	
0.148491	0.104983	1.30733	0.512438	0.154264	-0.0233574	1839.82	4199.1	
0.147788	0.105041	1.34209	0.488172	0.157874	0.0142558	1820.15	4100.75	
0.147446	0.106038	1.37908	0.483717	0.202843	0.13022	1738.96	3694.81	
0.148592	0.108156	1.42108	0.516913	0.273505	0.407904	1553.25	2766.26	
0.153202	0.139029	1.34268	0.682987	0.153686	0.0487845	1377.63	1888.13	
0.153061	0.139673	1.38132	0.684979	0.186098	0.228168	1287.48	1437.42	
0.108391	0.105451	1.46576	0.289975	0.164517	0.58552	1937.29	4686.47	
0.113088	0.110687	1.51897	0.284705	0.184356	0.624958	1493.13	2465.65	
0.112226	0.137692	1.47106	0.388756	0.134874	0.698214	1461.25	2306.24	
0.114895	0.143633	1.52609	0.31134	0.228464	0.78471	1200.39	1001.97	
0.149474	0.109984	1.46994	0.573093	0.262712	0.633994	1373.44	1867.19	
0.106925	0.166648	1.00868	0.269229	-0.10345	0.0221156	2069.42	5347.12	
0.105637	0.169775	1.04299	0.27144	-0.0710371	0.116351	2086.13	5430.64	
0.106932	0.169124	1.07629	0.28721	-0.059207	0.189228	2071.75	5358.76	
0.107153	0.169339	1.10854	0.287038	-0.0385062	0.184513	2056.79	5283.94	
0.105837	0.201504	1.00841	0.240947	-0.108225	0.0173252	2085.07	5425.33	
0.105031	0.20503	1.04279	0.241227	-0.0525918	0.113723	2085.25	5426.25	
0.105951	0.204133	1.07602	0.249177	-0.052066	0.18362	2075.77	5378.84	
0.106316	0.204624	1.1081	0.260153	-0.0224245	0.173198	2059.35	5296.75	
0.105938	0.236451	1.0083	0.246239	-0.0873505	0.0160317	2093.55	5467.76	
0.104975	0.240089	1.04271	0.242477	-0.0265112	0.109594	2096.58	5482.89	
0.106011	0.239174	1.07596	0.254462	-0.0272212	0.182103	2086.28	5431.4	
0.106378	0.239603	1.10816	0.265027	0.000489663	0.174303	2068.91	5344.57	
0.105991	0.271075	1.0082	0.24603	-0.0769268	0.0107923	2098.67	5493.33	
0.105041	0.274864	1.04268	0.242865	-0.0113054	0.108673	2103.58	5517.88	
0.106087	0.273886	1.07593	0.254042	-0.0134186	0.180564	2092.76	5463.79	
0.106335	0.274166	1.10813	0.260754	0.00932787	0.173376	2079.23	5396.14	
0.149146	0.168782	1.01059	0.576417	-0.0192719	0.106904	1494.98	2474.9	
0.148505	0.201781	1.01066	0.556092	-0.0783896	0.117203	1480.73	2403.65	
0.148501	0.235709	1.01074	0.565991	-0.105294	0.125296	1472.38	2361.88	
0.148581	0.270631	1.01071	0.554719	-0.073467	0.127851	1474.75	2373.74	
0.10823	0.168432	1.14043	0.326809	-0.0610714	0.132267	2008.24	5041.21	
0.108001	0.16873	1.17283	0.317645	-0.0494263	0.0703573	1985.91	4929.54	
0.10824	0.168623	1.20595	0.330246	-0.0529621	0.0310661	1971.12	4855.61	
0.108298	0.168576	1.23963	0.334887	-0.0565526	0.00990993	1962.93	4814.67	
0.108383	0.168743	1.27347	0.333329	-0.0502567	-0.0112796	1957.71	4788.53	
0.107418	0.203122	1.13997	0.300449	-0.0693947	0.117563	2003.26	5016.32	
0.106992	0.203626	1.17263	0.286563	-0.0505348	0.0629799	1986.29	4931.46	
0.107306	0.203426	1.20588	0.299292	-0.0580245	0.0283839	1969.51	4847.56	
0.107327	0.203349	1.23957	0.302213	-0.0610794	0.00603492	1962.63	4813.15	
0.107547	0.20351	1.27334	0.312472	-0.0569708	-0.0128983	1959.67	4798.36	
0.107552	0.238035	1.14004	0.309384	-0.0521557	0.120008	2009.21	5046.03	
0.107189	0.238488	1.1726	0.294221	-0.0349798	0.0619407	1989.54	4947.7	
0.10743	0.23829	1.20589	0.307383	-0.0420906	0.0281199	1975.67	4878.33	
0.107463	0.23824	1.23958	0.310345	-0.0443634	0.00648185	1968.66	4843.31	
0.10774	0.238348	1.27341	0.320052	-0.0409211	-0.0122041	1963.9	4819.51	
0.107437	0.272833	1.14003	0.304725	-0.0388478	0.120921	2023.46	5117.29	
0.107232	0.273035	1.17262	0.292865	-0.0283217	0.0632785	1997.62	4988.09	
0.107451	0.272883	1.20589	0.304899	-0.0343532	0.0286932	1984.1	4920.52	
0.107494	0.272829	1.23961	0.308307	-0.036375	0.00777054	1976.34	4881.68	
0.107727	0.272898	1.2735	0.317494	-0.0332865	-0.00779356	1971.48	4857.42	
0.109314	0.168874	1.3074	0.363047	-0.0402977	-0.0108487	1914.65	4573.25	
0.108948	0.168377	1.34267	0.360963	-0.0614878	0.0316828	1896.67	4483.36	
0.110091	0.168271	1.38085	0.406992	-0.0640033	0.197501	1794.83	3974.16	
0.112437	0.169182	1.42456	0.462133	0.00443649	0.500206	1566.1	2830.48	
0.108818	0.203215	1.30717	0.351504	-0.06471	-0.0162587	1905.67	4528.35	
0.108005	0.202813	1.34267	0.336075	-0.0839396	0.0319892	1892.34	4461.71	
0.109182	0.202132	1.38089	0.386672	-0.102614	0.197243	1790.35	3951.77	
0.112194	0.203088	1.42349	0.473078	-0.059566	0.486065	1548.49	2742.46	
0.10896	0.237893	1.30725	0.361229	-0.0583451	-0.0136176	1910.49	4552.43	
0.108308	0.237418	1.34273	0.347023	-0.0790252	0.0338356	1891.29	4456.44	
0.109468	0.236732	1.38078	0.399421	-0.102954	0.196486	1790.69	3953.47	
0.112463	0.237401	1.42378	0.486996	-0.0744508	0.495293	1546.31	2731.53	
0.108803	0.272305	1.30747	0.356244	-0.0571097	-0.00607331	1923	4615.02	
0.108332	0.271997	1.34281	0.344849	-0.0725609	0.0376664	1898.19	4490.96	
0.109425	0.27126	1.38079	0.395031	-0.0993697	0.197695	1798.41	3992.07	
0.112183	0.271378	1.42353	0.476256	-0.0891365	0.487412	1565.75	2828.74	
0.114995	0.168376	1.47343	0.47758	0.0295964	0.74621	1357	1785.02	
0.117244	0.174539	1.52612	0.371594	0.166918	0.769065	1137.4	687.017	
0.115166	0.20041	1.473	0.50702	-0.0723811	0.741944	1315.72	1578.58	
0.117873	0.206052	1.52634	0.402647	0.0726556	0.766521	1091.9	459.507	
0.115815	0.233485	1.47349	0.534346	-0.126911	0.757037	1289.4	1447.01	
0.118595	0.238301	1.52654	0.431455	-0.00298277	0.772904	1065.95	329.756	
0.115807	0.267349	1.47315	0.534195	-0.148872	0.745871	1293.55	1467.76	
0.11873	0.27119	1.52674	0.437971	-0.0562037	0.780578	1062.45	312.234	
