x	y	z	U	V	W	Ro	P	
0.109266	0.103612	1.01066	0.343359	0.143582	0.0841142	2244.78	6223.89	
0.107803	0.102159	1.04413	0.355905	0.160034	0.0268868	2290.33	6451.66	
0.109585	0.102862	1.07794	0.375494	0.141447	0.105159	2242.69	6213.46	
0.109106	0.102753	1.11043	0.346842	0.133447	0.13712	2260.38	6301.9	
0.112713	0.135659	1.0103	0.378051	0.107136	0.092221	1770.6	3853.02	
0.114002	0.137007	1.04471	0.49001	0.0866586	0.0669619	1689.19	3445.93	
0.114673	0.136987	1.07751	0.476677	0.102917	0.0847376	1669.75	3348.74	
0.114758	0.137686	1.11041	0.469583	0.114273	0.125382	1683.11	3415.56	
0.110217	0.102903	1.14222	0.362228	0.140252	0.148647	2228.1	6140.5	
0.110205	0.103538	1.17431	0.374535	0.149324	0.103234	2194.68	5973.42	
0.11056	0.103601	1.20689	0.388799	0.154697	0.0613797	2172.2	5860.98	
0.110651	0.103777	1.24008	0.395264	0.162778	0.0229711	2157.37	5786.87	
0.110624	0.10385	1.27367	0.386524	0.160577	-0.00397399	2145.04	5725.18	
0.115825	0.136952	1.14246	0.471174	0.109522	0.158399	1655.83	3279.16	
0.115122	0.137666	1.17452	0.456236	0.128186	0.110966	1652.07	3260.36	
0.115726	0.137747	1.20707	0.479052	0.134613	0.0689229	1622.11	3110.56	
0.115961	0.137832	1.23997	0.490018	0.139796	0.0247771	1601.19	3005.96	
0.116264	0.138032	1.27371	0.498114	0.144372	0.0152936	1581.82	2909.09	
0.111982	0.104846	1.30763	0.40903	0.195991	0.0197989	2071.39	5356.95	
0.111587	0.105098	1.34344	0.428069	0.214544	0.0659372	2029.22	5146.1	
0.112899	0.106725	1.38335	0.466228	0.268807	0.256235	1879.78	4398.9	
0.115798	0.110109	1.428	0.501389	0.324512	0.462464	1600.59	3002.94	
0.117859	0.138773	1.30811	0.519217	0.18394	0.0607025	1507.98	2539.92	
0.117169	0.138886	1.34487	0.527417	0.183297	0.13747	1452.13	2260.66	
0.118615	0.140204	1.38662	0.5573	0.236824	0.366357	1318.19	1590.95	
0.121106	0.144083	1.43267	0.558638	0.34764	0.56435	1140.89	704.472	
0.11763	0.111761	1.47587	0.461976	0.315491	0.505647	1402.62	2013.12	
0.120732	0.116223	1.52861	0.382185	0.276793	0.482219	1072.31	361.531	
0.12221	0.145727	1.48351	0.499221	0.401723	0.622378	1027.92	139.618	
0.115641	0.167939	1.01088	0.435812	0.0645626	0.110058	1657.3	3286.5	
0.11645	0.170807	1.04467	0.540645	0.0515658	0.0841727	1579.97	2899.83	
0.117903	0.170507	1.07808	0.548544	0.0691163	0.0899726	1548.56	2742.78	
0.117548	0.171209	1.11106	0.519744	0.0934812	0.126238	1563.15	2815.73	
0.115022	0.200468	1.0111	0.459286	-0.0518053	0.13456	1645.38	3226.89	
0.11624	0.204342	1.04443	0.560472	-0.0343837	0.0818185	1565.82	2829.1	
0.116957	0.203449	1.07769	0.550293	-0.0341903	0.0831823	1545.46	2727.29	
0.117212	0.204719	1.11056	0.544804	0.00476383	0.123029	1549.06	2745.3	
0.115718	0.234594	1.01121	0.488997	-0.0928501	0.145192	1628.55	3142.73	
0.116615	0.23882	1.04429	0.582004	-0.0634472	0.0791055	1554.02	2770.1	
0.117641	0.237827	1.07761	0.581516	-0.0673741	0.0829045	1528.77	2643.86	
0.117788	0.239089	1.11053	0.570472	-0.0257002	0.118596	1531.56	2657.81	
0.115609	0.268926	1.0111	0.480911	-0.107417	0.144964	1630.3	3151.52	
0.11661	0.273486	1.04428	0.578479	-0.0688991	0.0799435	1552.48	2762.39	
0.117615	0.272431	1.07754	0.57641	-0.0727044	0.0806754	1525.69	2628.47	
0.117543	0.273503	1.11046	0.560403	-0.0331375	0.116448	1534.39	2671.96	
0.118343	0.170064	1.14375	0.505638	0.0815849	0.166166	1547.01	2735.07	
0.118433	0.170932	1.17555	0.521599	0.110085	0.13632	1537.91	2689.56	
0.119064	0.170874	1.20769	0.54122	0.112557	0.0872611	1506.02	2530.1	
0.119423	0.170786	1.24034	0.556256	0.110499	0.0352693	1483.54	2417.7	
0.119442	0.170983	1.27381	0.552949	0.112028	0.0169374	1460.12	2300.61	
0.117703	0.202664	1.14322	0.51425	-0.0229037	0.162244	1532.66	2663.3	
0.117542	0.203825	1.17523	0.527487	0.00992409	0.130005	1532.52	2662.59	
0.118291	0.203547	1.2076	0.549227	0.00602767	0.0858569	1496.32	2481.58	
0.118562	0.203378	1.24025	0.561719	0.00149015	0.0336621	1474.54	2372.7	
0.119175	0.203532	1.27383	0.581385	0.00111484	0.0244951	1440.53	2202.67	
0.118563	0.236632	1.14336	0.550584	-0.0701528	0.16588	1506.82	2534.09	
0.118423	0.237724	1.17517	0.561703	-0.0382148	0.12832	1505.34	2526.71	
0.119144	0.237393	1.20757	0.585683	-0.0448281	0.0840328	1470.8	2354	
0.119441	0.237221	1.24026	0.598865	-0.0509834	0.0338952	1447.83	2239.14	
0.120042	0.237344	1.2738	0.615104	-0.0501852	0.019825	1410.73	2053.64	
0.118647	0.271167	1.14337	0.560516	-0.083298	0.16679	1504.73	2523.65	
0.118306	0.271859	1.17523	0.553682	-0.0588343	0.130197	1501.44	2507.19	
0.119003	0.271562	1.20764	0.577618	-0.0660263	0.0874385	1467.35	2336.74	
0.119349	0.271368	1.24034	0.592719	-0.0730647	0.0364466	1443.78	2218.9	
0.119913	0.271494	1.274	0.609312	-0.070173	0.0246565	1406.49	2032.43	
0.120336	0.171325	1.3091	0.551102	0.122551	0.0848746	1397.05	1985.24	
0.120908	0.170763	1.34682	0.598009	0.11934	0.207193	1320.35	1601.77	
0.122538	0.171436	1.38956	0.622354	0.158246	0.435601	1183.86	919.297	
0.120385	0.203236	1.30922	0.57835	0.00109186	0.102259	1367.5	1837.48	
0.120335	0.202397	1.34703	0.616492	-0.0207909	0.217788	1299.29	1496.44	
0.122109	0.202407	1.38974	0.646366	0.0137168	0.442338	1153.4	767.008	
0.121241	0.236402	1.30941	0.614065	-0.0745787	0.108044	1336.23	1681.14	
0.1214	0.235575	1.34718	0.654616	-0.0921011	0.222555	1262.65	1313.25	
0.123231	0.235197	1.38985	0.688132	-0.0767338	0.453394	1115.43	577.153	
0.12128	0.270308	1.3096	0.623873	-0.0998542	0.106644	1329.8	1649	
0.121344	0.269423	1.34736	0.650612	-0.128658	0.227546	1254.19	1270.94	
0.123189	0.268772	1.38995	0.688219	-0.124439	0.457969	1107.26	536.301	
0.124266	0.151507	1.53759	0.468586	0.393726	0.57496	891.135	-544.325	
0.124487	0.174362	1.43684	0.602524	0.259015	0.614258	1037.32	186.58	
0.125054	0.204942	1.43599	0.643001	0.0927111	0.624803	994.375	-28.1233	
0.126135	0.236805	1.43653	0.68363	-0.0298148	0.637419	956.552	-217.241	
0.126046	0.269686	1.43634	0.69315	-0.0846153	0.640146	953.818	-230.911	
0.126279	0.174867	1.48628	0.564218	0.324507	0.642322	959.519	-202.404	
0.128183	0.179808	1.53804	0.546946	0.263465	0.595866	869.47	-652.649	
0.127344	0.204348	1.48578	0.60888	0.196876	0.639341	916.759	-416.205	
0.129753	0.209593	1.53761	0.594003	0.177078	0.5637	838.443	-807.784	
0.12894	0.234676	1.48628	0.656241	0.0595582	0.639292	875.772	-621.141	
0.131562	0.239318	1.53735	0.648359	0.0508467	0.540396	816.171	-919.144	
0.129353	0.26656	1.48619	0.67728	-0.0394355	0.65209	864.166	-679.171	
0.132281	0.270295	1.5375	0.67756	-0.0447374	0.538053	812.311	-938.447	
0.117202	0.303562	1.01119	0.488137	-0.0596062	0.139833	1585.35	2926.76	
0.117176	0.308168	1.04421	0.571841	-0.0389387	0.0776571	1531.84	2659.18	
0.11862	0.307157	1.07795	0.579272	-0.0424099	0.0872535	1498.38	2491.92	
0.118245	0.30762	1.1113	0.548941	-0.0235574	0.131658	1511.89	2559.44	
0.114754	0.337704	1.01112	0.454999	-0.124025	0.140706	1657.14	3285.68	
0.11551	0.342344	1.04411	0.541989	-0.0833852	0.0739291	1597.86	2989.28	
0.116359	0.340992	1.07772	0.538867	-0.100081	0.0843083	1574.83	2874.15	
0.116611	0.342062	1.11046	0.532658	-0.0625504	0.114388	1577.67	2888.37	
0.112924	0.371745	1.01067	0.395665	-0.198857	0.128039	1754.45	3772.27	
0.113033	0.376222	1.04394	0.468728	-0.159521	0.0589526	1713.24	3566.19	
0.113979	0.374877	1.07734	0.470244	-0.180321	0.079265	1684.25	3421.27	
0.114258	0.375893	1.11031	0.467068	-0.134436	0.110016	1689.83	3449.15	
0.108816	0.405285	1.00987	0.313809	-0.237419	0.0770144	2178.4	5892.01	
0.105683	0.410585	1.04209	0.277236	-0.242861	0.00302345	2349.4	6747.01	
0.107414	0.408504	1.0767	0.298884	-0.241106	0.0723592	2283.13	6415.63	
0.10727	0.410252	1.10959	0.284994	-0.173966	0.104934	2311.6	6557.99	
0.119533	0.305701	1.14416	0.545727	-0.0685427	0.183726	1481.88	2409.39	
0.11933	0.306329	1.17577	0.550103	-0.0407075	0.144963	1479.33	2396.65	
0.120134	0.305958	1.20795	0.575708	-0.0497022	0.0978022	1442.61	2213.05	
0.120505	0.305724	1.24056	0.591982	-0.0565875	0.0454907	1417.43	2087.13	
0.120761	0.305397	1.27449	0.596082	-0.0695706	0.0429639	1383.23	1916.14	
0.117435	0.339414	1.14355	0.516332	-0.130624	0.180664	1550.81	2754.04	
0.117039	0.340244	1.17533	0.520451	-0.0962959	0.134425	1554.41	2772.03	
0.117821	0.33973	1.20776	0.546573	-0.110781	0.0918566	1518.03	2590.14	
0.118194	0.339323	1.24048	0.563156	-0.124546	0.0415354	1492.45	2462.23	
0.11883	0.339161	1.27379	0.580599	-0.133355	0.0177981	1452.75	2263.75	
0.115472	0.373009	1.14325	0.471961	-0.214383	0.178665	1645.7	3228.48	
0.114579	0.3737	1.17495	0.456099	-0.181984	0.121489	1657.59	3287.95	
0.115343	0.373139	1.20756	0.483546	-0.201673	0.0851352	1623.77	3118.87	
0.115592	0.372765	1.24038	0.495158	-0.215408	0.0377282	1602.5	3012.5	
0.116217	0.372706	1.2737	0.511124	-0.216234	0.00953447	1564.92	2824.6	
0.108831	0.407651	1.14239	0.323898	-0.245386	0.147392	2221.81	6109.05	
0.108461	0.407895	1.17448	0.310118	-0.221473	0.102969	2205.6	6028	
0.108923	0.40742	1.20732	0.330405	-0.238936	0.0742677	2175.35	5876.73	
0.109105	0.407046	1.24049	0.339102	-0.252476	0.0382728	2152.06	5760.28	
0.10966	0.407153	1.27397	0.356057	-0.242815	0.00815486	2117.11	5585.55	
0.122401	0.30446	1.31003	0.613004	-0.110212	0.125946	1303.14	1515.7	
0.122501	0.303291	1.34771	0.646083	-0.130254	0.238623	1231.97	1159.84	
0.124403	0.302108	1.39087	0.67712	-0.146254	0.468837	1085.64	428.205	
0.120123	0.337476	1.30959	0.579927	-0.204436	0.120223	1379.84	1899.18	
0.120228	0.336156	1.34705	0.625692	-0.229207	0.214152	1305.79	1528.94	
0.12214	0.334394	1.38949	0.662315	-0.253358	0.431346	1160.68	803.398	
0.117966	0.37061	1.30924	0.532256	-0.297394	0.107075	1476.37	2381.86	
0.117537	0.369055	1.34597	0.55994	-0.336604	0.168988	1422.6	2113	
0.119421	0.366768	1.3875	0.602754	-0.387193	0.374725	1279.23	1396.17	
0.111281	0.404867	1.30891	0.39716	-0.329245	0.0660031	2004.91	5024.55	
0.111236	0.403694	1.34504	0.419477	-0.361968	0.116949	1927.21	4636.04	
0.112982	0.401441	1.38442	0.473748	-0.410931	0.26988	1747.7	3738.49	
0.115789	0.399964	1.42833	0.508732	-0.404899	0.460474	1508.3	2541.51	
0.127175	0.301938	1.43818	0.675286	-0.134097	0.63729	937.516	-312.419	
0.125002	0.333541	1.43615	0.659706	-0.287118	0.63655	1001.25	6.24348	
0.122031	0.364474	1.43368	0.602375	-0.458341	0.585336	1100.41	502.045	
0.130235	0.297633	1.48768	0.670099	-0.146622	0.64767	872.266	-638.669	
0.132355	0.300497	1.53818	0.66295	-0.169337	0.543669	820.636	-896.821	
0.127781	0.328655	1.48636	0.637839	-0.276561	0.652196	901.745	-491.275	
0.130065	0.331404	1.53842	0.624333	-0.233877	0.58223	840.95	-795.25	
0.12524	0.358913	1.48461	0.599413	-0.405623	0.645107	942.578	-287.109	
0.127304	0.360042	1.53846	0.574298	-0.368002	0.521922	837.363	-813.183	
0.119776	0.394818	1.47567	0.5135	-0.350293	0.527371	1148.79	743.968	
0.122295	0.39351	1.52516	0.454804	-0.275803	0.457469	964.102	-179.492	
0.154924	0.107024	1.01159	0.602353	0.128145	0.0977526	1709.17	3545.86	
0.159619	0.106593	1.04499	0.660469	0.168461	0.0543545	1641.69	3208.43	
0.159222	0.106557	1.07755	0.646472	0.137179	0.0757089	1653.98	3269.92	
0.159941	0.106456	1.1104	0.651587	0.131046	0.100445	1675.02	3375.08	
0.159837	0.139324	1.01182	0.706764	0.145372	0.0805863	1395.16	1975.78	
0.16767	0.14099	1.0475	0.870845	0.155208	0.0950746	1320.1	1600.51	
0.167512	0.14081	1.07965	0.851443	0.138435	0.106387	1336.16	1680.78	
0.169203	0.140978	1.11224	0.878919	0.134858	0.121821	1349.99	1749.96	
0.204191	0.10838	1.01136	0.647297	0.0771627	0.0276708	1526.36	2631.82	
0.214599	0.107867	1.04322	0.777463	0.118283	-0.0226936	1487.02	2435.11	
0.212213	0.107329	1.07537	0.718998	0.0815328	-0.00200293	1517.77	2588.87	
0.210968	0.107031	1.1085	0.673003	0.0773204	0.0934468	1550.38	2751.91	
0.208109	0.14136	1.01177	0.727588	0.186205	0.0177994	1286.67	1433.36	
0.223063	0.142884	1.04564	0.948255	0.164386	-0.0112148	1265.41	1327.03	
0.221107	0.141957	1.0778	0.899541	0.13276	0.0280667	1281.31	1406.55	
0.223539	0.14176	1.11077	0.942714	0.111928	0.0996386	1299.59	1497.97	
0.255836	0.112235	0.996498	0.550841	0.143931	-0.266286	1175.16	875.793	
0.268224	0.109276	1.03772	0.669701	0.0908864	-0.221026	1384.03	1920.14	
0.270819	0.107427	1.07365	0.762951	0.0251385	-0.0498206	1408.1	2040.49	
0.26673	0.107658	1.10689	0.648236	0.00553698	0.0240166	1433.38	2166.91	
0.260774	0.143852	1.00334	0.750186	0.179727	-0.196682	1045.25	226.26	
0.278198	0.142446	1.04408	0.90977	0.0585006	-0.143485	1230.46	1152.32	
0.280182	0.141046	1.07775	0.977344	0.00261252	-0.019429	1213.17	1065.83	
0.283321	0.140846	1.11019	1.04801	-0.0417088	0.0577856	1245.49	1227.46	
0.161212	0.106525	1.14193	0.673878	0.129617	0.094741	1673.68	3368.38	
0.161164	0.106747	1.17437	0.677384	0.116775	0.100661	1643.83	3219.16	
0.161342	0.107183	1.20649	0.694297	0.133628	0.05174	1614.43	3072.17	
0.161446	0.107564	1.2393	0.704155	0.148951	0.0090228	1586.6	2933.02	
0.161289	0.107847	1.2729	0.706522	0.154993	-0.0291065	1570.91	2854.54	
0.170257	0.140524	1.14358	0.88796	0.118774	0.133106	1362.45	1812.24	
0.169361	0.140995	1.17512	0.858807	0.126319	0.12172	1357.65	1788.24	
0.169998	0.141396	1.20678	0.887412	0.143412	0.0693954	1336.62	1683.1	
0.17051	0.14178	1.2392	0.910765	0.160781	0.0185211	1305.99	1529.95	
0.171273	0.142103	1.27317	0.941385	0.183229	-0.00157375	1277.95	1389.75	
0.214927	0.107547	1.14008	0.754516	0.0546623	0.0847673	1524.56	2622.81	
0.213922	0.107138	1.17204	0.759238	0.0284983	0.0753279	1513.2	2565.98	
0.214747	0.107874	1.20415	0.783749	0.0467531	0.0228995	1475.66	2378.28	
0.214713	0.108456	1.23647	0.788607	0.0710234	-0.0292994	1439.2	2196.02	
0.21277	0.109012	1.27058	0.734225	0.107187	-0.00277858	1415.85	2079.25	
0.225941	0.141569	1.14179	0.980816	0.0938591	0.109633	1318.37	1591.85	
0.223711	0.141625	1.17295	0.93578	0.0872393	0.089788	1321.24	1606.21	
0.224692	0.142323	1.20441	0.967056	0.105151	0.0419236	1301.11	1505.57	
0.22514	0.142983	1.23659	0.986611	0.131019	-0.00386298	1262.9	1314.5	
0.225789	0.143555	1.27107	1.00571	0.167671	0.0132029	1224.75	1123.74	
0.271067	0.107543	1.1388	0.75061	-0.0239508	0.0729776	1436.19	2180.94	
0.27115	0.107437	1.17093	0.762203	-0.0405508	0.0829742	1416.61	2083.06	
0.271184	0.108377	1.20285	0.768984	-0.0191665	0.0474963	1370.2	1851	
0.271922	0.109243	1.23571	0.788596	0.0102731	0.00957931	1316.68	1583.41	
0.26879	0.110283	1.26956	0.72943	0.0494917	-0.0144176	1272.67	1363.34	
0.285564	0.140695	1.14145	1.0851	-0.0707072	0.104914	1267.44	1337.22	
0.282606	0.14111	1.17183	1.00933	-0.0542063	0.0906525	1275.36	1376.78	
0.283775	0.141972	1.20323	1.04996	-0.0335719	0.0541681	1245.64	1228.21	
0.284514	0.142987	1.23531	1.06987	4.91364e-05	-0.00118142	1201.76	1008.78	
0.285978	0.143759	1.26965	1.1149	0.033684	-0.00493072	1145.37	726.846	
0.163386	0.108874	1.30734	0.744755	0.194537	0.000603471	1512.37	2561.87	
0.162162	0.109681	1.34489	0.718685	0.23203	0.1399	1431.36	2156.79	
0.162231	0.111765	1.38602	0.739266	0.286344	0.346911	1291.23	1456.15	
0.173238	0.144488	1.34822	1.00179	0.272928	0.27736	1142.97	714.844	
0.172728	0.146683	1.39139	0.983328	0.350512	0.503117	1047.03	235.17	
0.172523	0.14268	1.30973	0.939159	0.211145	0.117865	1225.54	1127.72	
