x	y	z	U	V	W	Ro	P	
0.105369	0.101931	1.00957	0.232449	0.0897479	0.0202926	2420.7	7103.52	
0.103684	0.100156	1.04389	0.219382	0.0734433	0.0583331	2483.92	7419.61	
0.105263	0.101075	1.07719	0.241523	0.0678005	0.160417	2451.15	7255.77	
0.105169	0.10106	1.10932	0.231883	0.0648723	0.173116	2454.47	7272.37	
0.108744	0.13422	1.00932	0.310309	0.0335917	0.0579127	1968.56	4842.8	
0.108744	0.135668	1.04393	0.372212	0.00902893	0.0679298	1927.92	4639.62	
0.109529	0.135564	1.07688	0.36122	0.0358007	0.135965	1920.46	4602.32	
0.109677	0.13619	1.10939	0.358279	0.052496	0.165701	1927.34	4636.68	
0.148675	0.105873	1.01063	0.512021	0.146163	0.0825385	1833.63	4168.16	
0.106226	0.101161	1.14072	0.266526	0.0731736	0.122809	2419.92	7099.6	
0.106033	0.101769	1.17315	0.262046	0.0886552	0.075243	2388.56	6942.82	
0.106234	0.101753	1.20614	0.271872	0.0898842	0.0373042	2374.26	6871.32	
0.106236	0.101821	1.2398	0.274084	0.0936569	0.0149331	2365.85	6829.27	
0.106321	0.101902	1.27367	0.271526	0.0920386	-0.00387067	2359.89	6799.44	
0.110876	0.13547	1.1409	0.392125	0.040742	0.136993	1885.54	4427.71	
0.110326	0.136017	1.17328	0.370583	0.0606329	0.0818724	1868.18	4340.91	
0.110697	0.135999	1.20623	0.388393	0.0619225	0.042066	1846.84	4234.2	
0.110816	0.136008	1.23962	0.395972	0.0635534	0.0106614	1833.54	4167.7	
0.110999	0.136133	1.2734	0.399959	0.063368	-0.00287944	1826.59	4132.94	
0.107503	0.102496	1.30724	0.307212	0.117464	-0.0163335	2312.51	6562.55	
0.106783	0.102483	1.34246	0.295543	0.121443	0.0201328	2295.2	6476.01	
0.107722	0.103524	1.38035	0.330194	0.162724	0.1687	2188.52	5942.6	
0.110479	0.106526	1.42334	0.399241	0.244789	0.425231	1927.14	4635.68	
0.112458	0.136381	1.30717	0.440633	0.0823852	-0.000740385	1766.34	3831.71	
0.11163	0.136476	1.34292	0.425965	0.0833532	0.0490361	1736.32	3681.59	
0.112854	0.137108	1.38244	0.466426	0.11199	0.25365	1615.67	3078.33	
0.115486	0.139772	1.42697	0.509487	0.196934	0.525604	1394.75	1973.75	
0.112882	0.108186	1.47111	0.401025	0.234616	0.559387	1683.68	3418.39	
0.116852	0.113178	1.52406	0.349908	0.225507	0.54446	1280.59	1402.97	
0.117122	0.140965	1.4776	0.465144	0.259429	0.675238	1223	1114.99	
0.119231	0.147066	1.53268	0.394677	0.302352	0.70423	1031.22	156.082	
0.111217	0.166818	1.00974	0.388607	-0.0345468	0.0775664	1869.04	4345.19	
0.110889	0.169864	1.04368	0.455384	-0.0302638	0.0757619	1827.85	4139.26	
0.11221	0.1694	1.07737	0.460364	-0.0134446	0.138924	1807.73	4038.66	
0.112161	0.169911	1.11004	0.441994	0.0150765	0.168617	1812.81	4064.07	
0.110308	0.200657	1.00969	0.385455	-0.0984127	0.0900587	1873.28	4366.41	
0.110411	0.204412	1.04344	0.446453	-0.0651179	0.0728367	1820.79	4103.93	
0.111228	0.203529	1.07705	0.439871	-0.0626243	0.134033	1808.54	4042.71	
0.111526	0.204465	1.10953	0.439186	-0.0211147	0.159983	1806.58	4032.91	
0.110642	0.235435	1.00966	0.401734	-0.0982086	0.0935369	1874.23	4371.13	
0.11052	0.239412	1.04332	0.457108	-0.0558087	0.0685465	1826.33	4131.65	
0.11153	0.238472	1.07697	0.45705	-0.0563089	0.13266	1811.78	4058.91	
0.1118	0.239364	1.10956	0.454579	-0.0146425	0.158306	1808.83	4044.16	
0.110613	0.269989	1.0095	0.396279	-0.0983672	0.0871651	1881.09	4405.45	
0.110539	0.274194	1.0433	0.45383	-0.0498223	0.0679051	1832.74	4163.7	
0.111546	0.273198	1.07692	0.452221	-0.0505421	0.130518	1816.21	4081.05	
0.111652	0.273909	1.10951	0.445543	-0.012896	0.1575	1818.08	4090.39	
0.113175	0.168841	1.14232	0.453411	-0.00483301	0.178899	1772.99	3864.96	
0.113132	0.169433	1.1741	0.464215	0.01957	0.107694	1753.47	3767.36	
0.113601	0.169319	1.20667	0.485001	0.0174523	0.0570804	1726.81	3634.07	
0.113807	0.169232	1.23984	0.496311	0.0131907	0.016792	1711.49	3557.43	
0.113834	0.169423	1.27337	0.489105	0.0188407	-0.0151948	1700.53	3502.64	
0.112456	0.202583	1.1418	0.443561	-0.0646391	0.169519	1759.74	3798.68	
0.112207	0.203421	1.17382	0.452921	-0.0358972	0.100065	1748.71	3743.57	
0.112765	0.203133	1.20657	0.474419	-0.0449996	0.0538544	1718.43	3592.17	
0.112914	0.20301	1.23973	0.483979	-0.0490501	0.0112343	1704.87	3524.36	
0.113277	0.20317	1.27327	0.49609	-0.0473978	-0.0129202	1690.25	3451.23	
0.112895	0.237236	1.14191	0.466603	-0.0720503	0.17331	1755.2	3776	
0.112687	0.238005	1.17379	0.473833	-0.0451024	0.0991405	1741.85	3709.24	
0.113193	0.237707	1.20656	0.4969	-0.054572	0.0529261	1713.9	3569.51	
0.113358	0.237601	1.23974	0.50658	-0.0589838	0.0119274	1699.59	3497.95	
0.113762	0.237723	1.27328	0.517636	-0.056523	-0.0160646	1682.06	3410.31	
0.112843	0.272022	1.14188	0.468293	-0.0671359	0.171218	1765.88	3829.41	
0.112652	0.272427	1.17382	0.467518	-0.0510005	0.10046	1746.73	3733.63	
0.113129	0.272174	1.20659	0.489627	-0.0601247	0.0543429	1719.59	3597.94	
0.113307	0.272068	1.2398	0.499658	-0.0640348	0.0140049	1704.46	3522.29	
0.113674	0.272177	1.27344	0.511203	-0.0599661	-0.00961074	1686.62	3433.09	
0.114717	0.16967	1.30794	0.491365	0.032845	0.0319389	1642.79	3213.93	
0.114885	0.169025	1.34409	0.533255	0.011671	0.0980978	1596.68	2983.39	
0.116352	0.169125	1.38467	0.574553	0.0227247	0.318565	1463.28	2316.41	
0.118503	0.171151	1.4307	0.57608	0.128882	0.587193	1261.84	1309.2	
0.114532	0.202862	1.30782	0.507021	-0.0511209	0.037181	1620.2	3101	
0.114135	0.202165	1.34415	0.53442	-0.0786282	0.100483	1583.06	2915.32	
0.11569	0.201625	1.38473	0.581034	-0.0786367	0.319798	1444.24	2221.19	
0.118719	0.203394	1.42967	0.614744	-0.00913847	0.58531	1223.49	1117.45	
0.114997	0.236999	1.30795	0.53156	-0.0808123	0.0414778	1610.81	3054.07	
0.114774	0.236269	1.34423	0.559663	-0.10631	0.102961	1567.12	2835.61	
0.116374	0.235555	1.38469	0.611401	-0.119658	0.323984	1426.91	2134.57	
0.11939	0.236707	1.43012	0.64625	-0.0775596	0.599032	1202.59	1012.95	
0.114905	0.271277	1.30815	0.533744	-0.0883397	0.0426528	1618.2	3090.98	
0.114732	0.270627	1.34436	0.553481	-0.118098	0.108082	1569.2	2846.01	
0.116289	0.269778	1.38474	0.60563	-0.137726	0.327272	1429.56	2147.78	
0.11915	0.270289	1.4299	0.643204	-0.10872	0.596607	1214.02	1070.1	
0.120512	0.171013	1.48027	0.53838	0.180527	0.714969	1118.04	590.22	
