x	y	z	U	V	W	Ro	P	
0.117158	0.107673	1.01245	0.39459	0.203082	0.0893227	1805.29	4026.46	
0.11603	0.107235	1.04533	0.411356	0.253796	0.0599535	1812.88	4064.41	
0.118281	0.107627	1.07856	0.434797	0.238226	0.0309584	1757.94	3789.69	
0.116769	0.107667	1.11118	0.383155	0.245713	0.0376129	1782.32	3911.58	
0.119455	0.140249	1.01165	0.337092	0.229496	0.0677337	1426.76	2133.82	
0.123793	0.142499	1.04676	0.489552	0.274613	0.10251	1340.21	1701.07	
0.124075	0.142447	1.07865	0.470099	0.27299	0.0568649	1326.34	1631.69	
0.124358	0.143003	1.11176	0.480003	0.265841	0.0675052	1323.68	1618.38	
0.117821	0.107715	1.14376	0.380187	0.240593	0.0768047	1762.26	3811.31	
0.117992	0.107813	1.17645	0.389363	0.213754	0.106607	1742.22	3711.09	
0.118466	0.108084	1.20882	0.3953	0.224116	0.0966236	1716.27	3581.36	
0.118734	0.108606	1.24146	0.404143	0.241463	0.0691518	1681.37	3406.86	
0.118648	0.109144	1.27511	0.401185	0.264657	0.0718588	1638.91	3194.53	
0.125251	0.142266	1.14414	0.4713	0.265698	0.0839039	1322.66	1613.32	
0.123737	0.142947	1.17672	0.430767	0.264059	0.110096	1338.52	1692.59	
0.12475	0.143257	1.20937	0.451196	0.275464	0.114828	1320.24	1601.22	
0.125134	0.143715	1.24217	0.458658	0.294111	0.110139	1291.63	1458.15	
0.126026	0.144426	1.27671	0.4881	0.319687	0.149887	1243.18	1215.91	
0.120391	0.111024	1.31021	0.420455	0.308903	0.129056	1512.9	2564.49	
0.120721	0.112049	1.34835	0.456693	0.347555	0.245697	1409.03	2045.13	
0.122429	0.114536	1.39112	0.476473	0.390529	0.388809	1229.38	1146.91	
0.12815	0.146268	1.313	0.514549	0.37474	0.244382	1162.02	810.097	
0.127453	0.147397	1.35258	0.514236	0.425515	0.385838	1073.71	368.535	
0.129632	0.150563	1.39677	0.550881	0.51796	0.507392	973.228	-133.861	
0.124773	0.117874	1.43665	0.448731	0.388235	0.432234	1025.54	127.678	
0.125788	0.119287	1.48391	0.407883	0.376295	0.402042	904.251	-478.746	
0.129839	0.124435	1.53387	0.455369	0.410609	0.263071	733.856	-1330.72	
0.123043	0.171527	1.01246	0.370079	0.179418	0.078981	1344.05	1720.24	
0.12616	0.174501	1.04701	0.485503	0.184716	0.116978	1297.7	1488.49	
0.128289	0.174372	1.07971	0.519325	0.19327	0.0813548	1282.08	1410.39	
0.127173	0.175131	1.11226	0.481269	0.196112	0.0600705	1287.86	1439.29	
0.122139	0.202543	1.01275	0.355819	0.103752	0.0824314	1323.48	1617.38	
0.125803	0.206559	1.04683	0.478118	0.110823	0.119977	1292.31	1461.56	
0.126166	0.205775	1.07919	0.460463	0.116291	0.0750462	1285.83	1429.13	
0.12676	0.207247	1.112	0.477395	0.126363	0.072019	1280.49	1402.44	
0.123651	0.234879	1.01314	0.396671	0.0142443	0.096532	1280.18	1400.89	
0.126741	0.239419	1.04682	0.506265	0.0299309	0.126475	1257.92	1289.58	
0.127841	0.238538	1.07928	0.509979	0.0355823	0.0830418	1244.74	1223.69	
0.128034	0.239953	1.112	0.512281	0.043194	0.0735281	1240.08	1200.39	
0.123412	0.267949	1.01341	0.39015	-0.0488498	0.11533	1263.69	1318.47	
0.126734	0.272752	1.04684	0.506213	-0.0366585	0.127778	1245.5	1227.52	
0.127866	0.271601	1.07915	0.512528	-0.0415314	0.0806048	1234.65	1173.25	
0.127615	0.272823	1.11185	0.503584	-0.0340128	0.0696736	1235.27	1176.36	
0.127821	0.173939	1.14489	0.473882	0.193735	0.0572693	1292.15	1460.73	
0.12807	0.174939	1.17778	0.481872	0.200379	0.111357	1300.32	1501.58	
0.128883	0.175075	1.21028	0.490959	0.210041	0.129539	1290.01	1450.04	
0.129444	0.17521	1.24322	0.501014	0.221206	0.144411	1262.81	1314.04	
0.129364	0.1757	1.27773	0.496093	0.235841	0.196088	1214.98	1074.88	
0.126161	0.205315	1.14438	0.422894	0.132544	0.0584138	1295.51	1477.53	
0.125889	0.206564	1.17745	0.417367	0.136969	0.1113	1307.13	1535.67	
0.126946	0.206593	1.21033	0.432733	0.152321	0.136618	1294.57	1472.84	
0.127302	0.206513	1.24357	0.437025	0.156752	0.166037	1265.64	1328.21	
0.128768	0.207032	1.27837	0.479624	0.174966	0.22684	1200.2	1001.02	
0.128134	0.237674	1.1446	0.478527	0.0521193	0.0622401	1251.58	1257.92	
0.127943	0.238942	1.1774	0.476016	0.060912	0.111371	1264.15	1320.73	
0.128937	0.238841	1.21035	0.489676	0.0723693	0.13924	1252.03	1260.13	
0.129369	0.238645	1.24371	0.496392	0.0711875	0.172546	1222.98	1114.92	
0.130553	0.238814	1.27861	0.525557	0.0734847	0.240244	1157.72	788.601	
0.128674	0.270199	1.14471	0.501377	-0.0483849	0.0670241	1239.68	1198.4	
0.127512	0.271269	1.17749	0.460314	-0.0294555	0.113034	1259.61	1298.06	
0.12861	0.27107	1.21055	0.480347	-0.0245796	0.145518	1245.54	1227.7	
0.129156	0.270783	1.24389	0.490351	-0.0292059	0.177457	1215.12	1075.62	
0.130352	0.270748	1.27883	0.521953	-0.0373056	0.24187	1149.49	747.438	
0.130516	0.176538	1.31532	0.508972	0.260669	0.310985	1139.07	695.37	
0.131896	0.176891	1.35635	0.5494	0.306392	0.476862	1040.19	200.953	
0.134154	0.178855	1.40112	0.580779	0.370946	0.577919	958.121	-209.394	
0.130404	0.206899	1.31615	0.500981	0.183118	0.346601	1116.55	582.749	
0.131055	0.206602	1.35713	0.535995	0.210232	0.505195	1020.48	102.395	
0.134186	0.207618	1.40186	0.603844	0.26058	0.605986	934.879	-325.606	
0.132029	0.237851	1.31672	0.539404	0.0724868	0.365467	1075.18	375.887	
0.132939	0.237395	1.35757	0.576962	0.0909554	0.519311	978.852	-105.739	
0.13591	0.237544	1.40227	0.633938	0.117362	0.621048	898.841	-505.794	
0.132459	0.269229	1.31686	0.558929	-0.0539127	0.362984	1065.24	326.211	
0.133178	0.268418	1.35775	0.591675	-0.0502884	0.519638	970.379	-148.106	
0.13645	0.268111	1.40233	0.66305	-0.033015	0.619042	889.652	-551.74	
0.132584	0.155112	1.44305	0.573907	0.551444	0.519086	891.11	-544.448	
0.134313	0.155233	1.49318	0.605156	0.475302	0.483708	867.203	-663.987	
0.138914	0.159137	1.54079	0.732394	0.381488	0.159803	810.763	-946.184	
0.137258	0.181813	1.44761	0.638553	0.372537	0.538533	910.156	-449.221	
0.138883	0.210811	1.44708	0.69144	0.293451	0.554808	893.249	-533.756	
0.140905	0.239757	1.447	0.738491	0.147577	0.523995	866.879	-665.603	
0.141543	0.269172	1.44682	0.774861	-0.0256842	0.523992	863.879	-680.603	
0.140259	0.180998	1.49614	0.698987	0.306599	0.4931	918.406	-407.97	
0.144926	0.181042	1.54321	0.837161	0.0616871	0.258496	873.437	-632.813	
0.143188	0.209647	1.4954	0.792186	0.264962	0.480699	909.666	-451.671	
0.14846	0.211751	1.54343	0.935359	0.107862	0.291005	877.438	-612.808	
0.146192	0.237529	1.4953	0.862595	0.142649	0.4512	906.528	-467.361	
0.151628	0.239586	1.54354	1.00329	0.0134265	0.30957	900.064	-499.679	
0.147326	0.266637	1.49512	0.898648	0.00386428	0.446089	909.098	-454.512	
0.152542	0.269993	1.54361	1.01304	-0.0150843	0.305056	917.817	-410.913	
0.125489	0.301101	1.01334	0.414323	-0.123046	0.107597	1252.65	1263.26	
0.127349	0.30524	1.04682	0.508668	-0.146376	0.130379	1254.31	1271.54	
0.12932	0.304066	1.07978	0.535012	-0.154564	0.0914828	1235.92	1179.6	
0.128274	0.304866	1.11269	0.501461	-0.137676	0.0696372	1237.64	1188.19	
0.122497	0.332904	1.01304	0.387145	-0.240005	0.0959422	1324.87	1624.34	
0.125577	0.337581	1.04642	0.503367	-0.238165	0.115515	1308.72	1543.59	
0.126309	0.335923	1.0793	0.497491	-0.253433	0.0787796	1291.34	1456.69	
0.126808	0.337728	1.11184	0.509838	-0.216704	0.0692078	1275.02	1375.12	
0.1212	0.36517	1.01252	0.413826	-0.328724	0.0926978	1394.13	1970.65	
0.123632	0.369722	1.04583	0.529949	-0.324982	0.094229	1367.46	1837.31	
0.124533	0.367905	1.07843	0.527729	-0.348638	0.054621	1335.29	1676.47	
0.124744	0.36951	1.11136	0.524256	-0.31913	0.0525253	1324.81	1624.04	
0.116864	0.399219	1.01181	0.402405	-0.30333	0.0971355	1678.7	3393.51	
0.113722	0.403411	1.04263	0.401954	-0.358702	0.0268792	1812.4	4062	
0.115886	0.401	1.07681	0.42358	-0.37521	0.00552676	1718.8	3593.98	
0.115252	0.403519	1.10995	0.399083	-0.33665	0.0180069	1766.18	3830.92	
0.129694	0.301943	1.14578	0.508053	-0.187911	0.0811133	1243.46	1217.31	
0.129097	0.303138	1.17827	0.488361	-0.159522	0.124995	1263.03	1315.15	
0.13032	0.30278	1.21107	0.509323	-0.158882	0.155965	1246.97	1234.87	
0.130963	0.302375	1.24434	0.522922	-0.16743	0.188621	1217.43	1087.13	
0.131491	0.301889	1.27959	0.536502	-0.175372	0.254755	1155.03	775.135	
0.127003	0.333625	1.14511	0.478361	-0.28947	0.0781858	1287.33	1436.63	
0.126565	0.335273	1.1777	0.476308	-0.248541	0.118285	1309.92	1549.6	
0.127678	0.334665	1.21059	0.492841	-0.253207	0.141757	1290.1	1450.49	
0.128303	0.333941	1.24385	0.50543	-0.269131	0.168528	1259.78	1298.9	
0.129468	0.333702	1.27827	0.531918	-0.272928	0.223817	1187.53	937.664	
0.125781	0.365288	1.145	0.515449	-0.38606	0.0874521	1310.78	1553.89	
0.124391	0.366882	1.17699	0.490622	-0.340905	0.1024	1344.6	1723.02	
0.125571	0.36616	1.20997	0.511397	-0.34897	0.120522	1318.69	1593.43	
0.12597	0.365327	1.24305	0.518907	-0.371899	0.133629	1291.99	1459.96	
0.127117	0.365166	1.27738	0.544993	-0.377002	0.184032	1216.64	1083.19	
0.117172	0.400264	1.14381	0.417035	-0.369343	0.0713068	1647.61	3238.05	
0.116295	0.401578	1.17614	0.391719	-0.315846	0.0831738	1675.96	3379.78	
0.11714	0.400839	1.2093	0.410822	-0.329087	0.0989576	1632.12	3160.61	
0.117548	0.400092	1.2423	0.422154	-0.347732	0.0902633	1588	2939.98	
0.118502	0.400285	1.27631	0.442119	-0.343405	0.116795	1515.1	2575.5	
0.133918	0.299785	1.31763	0.575845	-0.233716	0.379579	1075.44	377.186	
0.134693	0.298713	1.35811	0.609637	-0.228869	0.520228	984.275	-78.6238	
0.137793	0.297786	1.4027	0.669505	-0.216087	0.591537	901.106	-494.472	
0.13114	0.329985	1.31648	0.550884	-0.374527	0.344516	1115.07	575.337	
0.132061	0.328811	1.35684	0.591642	-0.367209	0.489359	1021.74	108.677	
0.135153	0.327163	1.40157	0.650695	-0.361543	0.603911	924.138	-379.311	
0.12951	0.36091	1.3151	0.577154	-0.485004	0.293256	1123.83	619.167	
0.129533	0.359243	1.35421	0.599785	-0.490615	0.412214	1045.83	229.133	
0.132318	0.356885	1.39837	0.644867	-0.494165	0.543151	926.642	-366.789	
0.120929	0.396591	1.31287	0.482418	-0.413795	0.198136	1325.92	1629.62	
0.121395	0.39544	1.35066	0.507962	-0.412671	0.281466	1218.99	1094.93	
0.1236	0.393404	1.39234	0.530923	-0.401823	0.395832	1051.66	258.292	
0.126267	0.392535	1.4377	0.523889	-0.371442	0.468605	913.781	-431.095	
0.142524	0.297419	1.44793	0.767442	-0.225968	0.487414	880.482	-597.591	
0.139431	0.327025	1.4466	0.721476	-0.325805	0.522629	888.561	-557.195	
0.135984	0.355632	1.4445	0.69763	-0.442105	0.541122	854.085	-729.574	
0.147816	0.294927	1.49592	0.87902	-0.135289	0.412118	919.88	-400.601	
0.152261	0.298954	1.54402	0.995291	-0.0771511	0.292203	910.523	-447.384	
0.144345	0.32542	1.49435	0.828219	-0.161735	0.39953	896.491	-517.546	
0.148689	0.331649	1.54297	0.931233	0.0122263	0.227612	889.391	-553.047	
