Xmin	Xmax	Ymin	Ymax	Zmin	Zmax
-0.153094	2.15309	-0.153094	2.15309	0.846906	9.45928	
x	y	z	U	V	W	Ro	P	Vol	Num
0.404295	0.373096	1.11013	-1.32699	-2.19438	-0.310508	814.243	1444.73	0.000501002	2
0.401452	0.370074	1.35236	-1.60116	-2.61539	6.22503	954.23	1864.69	0.000501002	2
0.396783	0.365586	1.15641	-1.55417	-2.42288	0.216471	795.184	1387.55	0.000501002	2
0.380355	0.432066	1.41015	-1.93115	-1.81709	0.548413	747.147	1243.44	0.000501002	2
0.392538	0.441475	1.25454	-1.66352	-1.69198	0.0319373	1521.58	3566.73	0.000501002	2
0.388366	0.440142	1.29772	-1.67415	-1.6292	0.153489	1687.88	4065.64	0.000501002	2
0.386816	0.437024	1.34587	-1.65934	-1.61419	0.228885	1425.11	3277.32	0.000501002	2
0.408547	0.451638	1.21238	-1.18183	-1.30286	0.0292078	1398.85	3198.55	0.000501002	2
0.333821	0.448984	1.34564	-2.31748	-1.47569	5.94177	1036.16	2110.48	0.000501002	2
0.327402	0.447442	1.15999	-2.12679	-1.39712	0.341862	727.108	1183.32	0.000501002	2
0.331224	0.367723	1.66447	-1.9457	-2.41727	13.6941	534.847	606.542	0.000501002	2
0.39508	0.36441	1.66347	-1.54963	-2.62938	13.6527	672.079	1018.24	0.000501002	2
0.267483	0.442054	1.66178	-2.45748	-1.62216	13.5913	538.937	618.811	0.000501002	2
0.434788	0.428323	1.56488	-1.71799	-1.86668	0.992107	1241.17	2725.5	0.000501002	2
0.325674	0.447878	1.65284	-2.20797	-1.50411	13.3179	807.777	1425.33	0.000501002	2
0.445699	0.428558	1.49363	-1.49914	-1.83777	0.0732232	910.852	1734.56	0.000501002	2
0.33445	0.452834	1.1106	-1.9265	-1.26488	-0.231053	762.794	1290.38	0.000501002	2
0.344382	0.541075	1.10683	-1.67131	-0.089988	-0.299169	969.666	1911	0.000501002	2
0.336824	0.545978	1.1432	-1.85945	0.0867413	-0.28053	987.448	1964.34	0.000501002	2
0.334415	0.631748	1.10985	-1.94217	1.234	-0.223369	758.207	1276.62	0.000501002	2
0.424555	0.473177	1.10622	-0.80285	-0.736938	-0.322825	1440.47	3323.41	0.000501002	2
0.423584	0.467134	1.13998	-0.779644	-0.871604	-0.407763	1596.69	3792.08	0.000501002	2
0.430739	0.541792	1.10514	-0.713213	-0.0568928	-0.315799	1740.48	4223.45	0.000501002	2
0.432438	0.543754	1.13482	-0.629599	0.0117831	-0.539098	1968.22	4906.66	0.000501002	2
0.425165	0.609157	1.10543	-0.77952	0.605644	-0.313705	1446.7	3342.1	0.000501002	2
0.423864	0.619528	1.14096	-0.757262	0.868688	-0.375143	1571.07	3715.22	0.000501002	2
0.406071	0.711457	1.1091	-1.29715	2.16758	-0.249732	815.037	1447.11	0.000501002	2
0.324314	0.542266	1.22534	-2.2384	0.0185693	0.293374	869.613	1610.84	0.000501002	2
0.3127	0.543116	1.28834	-2.59714	0.0564084	1.26836	1099.54	2300.62	0.000501002	2
0.424112	0.540265	1.2065	-0.791774	-0.0786076	-0.127273	1891.01	4675.03	0.000501002	2
0.410352	0.542154	1.25367	-1.11065	-0.00111589	0.0424428	2190.63	5573.89	0.000501002	2
0.394114	0.540136	1.29829	-1.46152	-0.0796711	0.253039	2224.96	5676.87	0.000501002	2
0.384276	0.539614	1.34334	-1.70771	-0.0956654	0.156185	1751.72	4257.15	0.000501002	2
0.376662	0.540042	1.39617	-1.94928	-0.0723951	-0.000779904	1013.97	2043.9	0.000501002	2
0.368019	0.541969	1.45152	-2.20955	0.00869342	0.165004	725.926	1179.78	0.000501002	2
0.409662	0.628856	1.21391	-1.15509	1.16358	0.0467912	1410.83	3234.49	0.000501002	2
