Xmin	Xmax	Ymin	Ymax	Zmin	Zmax
-0.153094	2.15309	-0.153094	2.15309	0.846906	9.45928	
x	y	z	U	V	W	Ro	P	Vol	Num
0.392761	0.442122	1.04372	-0.140043	-0.13094	4.37243	7229.11	20689.3	0.000501002	2
0.442236	0.441957	1.04382	-0.119542	-0.147456	4.38181	7721.18	22165.5	0.000501002	2
0.443085	0.442499	1.07135	-0.0346133	-0.0931675	2.20811	4240.03	11722.1	0.000501002	2
0.442717	0.44197	1.10116	-0.0714097	-0.146147	0.262354	2451.06	6355.17	0.000501002	2
0.442457	0.441831	1.1482	-0.0973659	-0.160024	0.0393177	2070.96	5214.89	0.000501002	2
0.343542	0.491987	1.04354	-0.134882	-0.071419	4.3541	7179.51	20540.5	0.000501002	2
0.343452	0.541976	1.0434	-0.143834	0.000436616	4.33984	7438.6	21317.8	0.000501002	2
0.343849	0.542077	1.07202	-0.104227	0.0105848	2.27483	3605.33	9818	0.000501002	2
0.343529	0.591932	1.04349	-0.136151	0.0691059	4.34868	7179.37	20540.1	0.000501002	2
0.392642	0.491946	1.04348	-0.151866	-0.0755132	4.34788	8033.34	23102	0.000501002	2
0.393541	0.49221	1.07122	-0.0619868	-0.0490899	2.19497	4515.81	12549.4	0.000501002	2
0.392892	0.491911	1.10134	-0.12688	-0.0790446	0.280238	2557.42	6674.27	0.000501002	2
0.392582	0.491723	1.14834	-0.157907	-0.0978265	0.0527804	2057.17	5173.52	0.000501002	2
0.392618	0.541943	1.04344	-0.154316	-0.00287927	4.34403	8344.14	24034.4	0.000501002	2
0.393709	0.542026	1.07101	-0.0451563	0.00551285	2.17411	4919.26	13759.8	0.000501002	2
0.393157	0.542128	1.10125	-0.100379	0.0156873	0.2712	2970.4	7913.19	0.000501002	2
0.392716	0.542019	1.14814	-0.144499	0.00478226	0.0330587	2467.79	6405.37	0.000501002	2
0.392632	0.591932	1.04345	-0.152849	0.0690504	4.34507	8033.26	23101.8	0.000501002	2
0.393557	0.591882	1.0712	-0.0603743	0.064007	2.19337	4515.62	12548.9	0.000501002	2
0.392964	0.592339	1.10131	-0.119735	0.109751	0.277249	2557.41	6674.23	0.000501002	2
0.392619	0.592333	1.14835	-0.154225	0.109116	0.0539705	2057.17	5173.52	0.000501002	2
0.392782	0.641725	1.04356	-0.137885	0.121386	4.35593	7228.99	20689	0.000501002	2
0.442084	0.491975	1.04385	-0.134756	-0.0726001	4.38455	8514.59	24545.8	0.000501002	2
0.443344	0.49248	1.07076	-0.00867726	-0.0220942	2.14876	5350.16	15052.5	0.000501002	2
0.443298	0.492365	1.101	-0.0132592	-0.0335993	0.245616	3629.52	9890.57	0.000501002	2
0.442969	0.492165	1.14802	-0.0462065	-0.05358	0.021196	3248.48	8747.44	0.000501002	2
0.442083	0.541967	1.04389	-0.134818	-0.000422712	4.38914	8752.26	25258.8	0.000501002	2
0.443481	0.542011	1.07066	0.00501593	0.0039614	2.13881	5692.39	16079.2	0.000501002	2
0.443537	0.542094	1.10093	0.0105912	0.0122677	0.238773	4025.3	11077.9	0.000501002	2
0.443249	0.54201	1.14787	-0.018176	0.00390579	0.00633105	3681.81	10047.4	0.000501002	2
0.442113	0.59194	1.04375	-0.131791	0.0698752	4.37515	8514.6	24545.8	0.000501002	2
0.443341	0.591542	1.07075	-0.00898441	0.0300849	2.14761	5349.97	15051.9	0.000501002	2
0.443294	0.591817	1.10101	-0.0136737	0.0575901	0.246572	3629.49	9890.48	0.000501002	2
0.442964	0.591859	1.14803	-0.0467504	0.061721	0.0224198	3248.48	8747.44	0.000501002	2
0.44223	0.641889	1.04363	-0.120111	0.137703	4.363	7721.15	22165.5	0.000501002	2
0.443123	0.641533	1.07115	-0.0308463	0.102115	2.18778	4239.75	11721.2	0.000501002	2
0.442822	0.642244	1.10124	-0.0609007	0.173272	0.270441	2451.01	6355.02	0.000501002	2
0.4425	0.64221	1.14833	-0.093121	0.169814	0.051567	2070.96	5214.89	0.000501002	2
0.392478	0.541971	1.19736	-0.168256	-3.03999e-005	0.0283179	2036	5110.01	0.000501002	2
0.392262	0.541971	1.2467	-0.189859	-5.74507e-006	0.0348565	1637.31	3913.93	0.000501002	2
0.442526	0.491814	1.19721	-0.0904658	-0.0887642	0.0132752	2885.67	7659.01	0.000501002	2
0.44226	0.491589	1.24633	-0.117148	-0.111215	-0.00255648	2513.16	6541.49	0.000501002	2
0.442144	0.491459	1.29553	-0.128727	-0.124258	-0.0087016	2234.64	5705.91	0.000501002	2
0.442094	0.491346	1.34474	-0.133719	-0.135562	-0.0146121	2022.22	5068.67	0.000501002	2
0.442016	0.491275	1.39439	-0.141461	-0.142606	0.0228394	1804.97	4416.9	0.000501002	2
0.442898	0.541965	1.19704	-0.0533138	-0.000593606	-0.00413539	3350.76	9054.29	0.000501002	2
0.442591	0.541963	1.24627	-0.0840253	-0.000791083	-0.00849534	3026.35	8081.06	0.000501002	2
0.442216	0.541961	1.29551	-0.121518	-0.00106058	-0.0112285	2794.14	7384.42	0.000501002	2
0.44201	0.541957	1.3447	-0.142068	-0.00138912	-0.0187066	2610.52	6833.55	0.000501002	2
0.441875	0.541958	1.39424	-0.155587	-0.00130707	0.00779545	2368.1	6106.29	0.000501002	2
0.441696	0.54197	1.44364	-0.17355	-0.000141703	0.0212003	2009.71	5031.13	0.000501002	2
0.442533	0.592124	1.19722	-0.0897897	0.088209	0.0135146	2885.67	7659.01	0.000501002	2
0.442272	0.592346	1.24633	-0.11595	0.110435	-0.00239357	2513.16	6541.49	0.000501002	2
0.442161	0.592473	1.29554	-0.127002	0.123203	-0.00853922	2234.64	5705.91	0.000501002	2
0.442116	0.592583	1.34475	-0.131547	0.134166	-0.0144392	2022.22	5068.67	0.000501002	2
0.442041	0.592655	1.39439	-0.139021	0.141343	0.022478	1804.97	4416.9	0.000501002	2
0.441475	0.541971	1.49311	-0.195561	2.67194e-006	0.0408916	1611.15	3835.45	0.000501002	2
0.491929	0.441948	1.04406	-0.0772401	-0.148283	4.4064	7994.57	22985.7	0.000501002	2
0.492711	0.44257	1.07106	0.000950816	-0.0860791	2.17878	4651.97	12957.9	0.000501002	2
