Xmin	Xmax	Ymin	Ymax	Zmin	Zmax
-0.153094	2.15309	-0.153094	2.15309	0.846906	9.45928	
x	y	z	U	V	W	Ro	P	Vol	Num
0.43289	0.422386	1.11307	-0.654209	-1.27213	0.465026	1867.31	4603.94	0.000501002	2
0.430526	0.420204	1.15334	-0.767868	-1.39565	0.160437	2430.7	6294.09	0.000501002	2
0.375218	0.422058	1.32061	-1.16403	-1.34434	13.8929	1284.62	2855.86	0.000501002	2
0.429095	0.422221	1.31996	-0.862623	-1.29946	13.9219	2203.07	5611.21	0.000501002	2
0.434509	0.424608	1.19645	-0.587656	-1.18754	6.16072	2696.37	7091.12	0.000501002	2
0.37713	0.481182	1.11268	-1.0307	-0.720287	0.428054	1886.39	4661.18	0.000501002	2
0.380773	0.542588	1.11137	-0.833832	-0.00998116	0.335076	2332.62	5999.87	0.000501002	2
0.377577	0.543672	1.1511	-0.945949	0.0899707	-0.0150254	3139.37	8420.11	0.000501002	2
0.377418	0.604063	1.11219	-1.03437	0.714618	0.391386	1875.73	4629.18	0.000501002	2
0.440095	0.488141	1.11074	-0.268895	-0.302119	0.343441	3046.52	8141.55	0.000501002	2
0.438966	0.485769	1.1498	-0.269095	-0.420713	-0.0533427	4132.49	11399.5	0.000501002	2
0.442988	0.542708	1.11006	-0.109462	0.00339313	0.306053	3366.44	9101.31	0.000501002	2
0.442754	0.543108	1.14791	-0.0504922	0.0544745	-0.155047	4645.71	12939.1	0.000501002	2
0.440289	0.596738	1.11035	-0.257645	0.280204	0.309116	3037.24	8113.71	0.000501002	2
0.438957	0.600356	1.15008	-0.264748	0.517832	-0.0384755	4099.01	11299	0.000501002	2
0.433813	0.662587	1.11165	-0.621294	1.27472	0.38784	1854.64	4565.91	0.000501002	2
0.372984	0.541915	1.21046	-1.17043	-0.00673415	0.879624	3338.5	9017.51	0.000501002	2
0.368458	0.542132	1.25825	-1.46231	0.0157709	0.857829	2746.02	7240.07	0.000501002	2
0.433601	0.48057	1.20533	-0.532141	-0.701459	0.559269	4305.63	11918.9	0.000501002	2
0.428029	0.477474	1.24934	-0.868246	-0.872649	0.254731	3645.41	9938.24	0.000501002	2
0.425619	0.476045	1.29558	-1.02306	-0.93772	0.0409384	2656.68	6972.03	0.000501002	2
0.424633	0.474305	1.34338	-1.09277	-1.04777	-0.0640715	1720.95	4164.86	0.000501002	2
0.423256	0.472878	1.39768	-1.18458	-1.14918	0.216227	1308.45	2927.35	0.000501002	2
0.438843	0.541694	1.20298	-0.225202	-0.022374	0.438069	5013.29	14041.9	0.000501002	2
0.433098	0.541978	1.24843	-0.561257	0.00833495	0.210421	4359.02	12079	0.000501002	2
0.42682	0.541673	1.29514	-0.954107	-0.018961	0.0113129	3257.53	8774.6	0.000501002	2
0.42353	0.541519	1.34253	-1.15924	-0.0308907	-0.127353	2228.9	5688.7	0.000501002	2
0.421497	0.541513	1.39462	-1.28238	-0.032528	0.010678	1772.9	4320.69	0.000501002	2
0.418934	0.541901	1.44594	-1.43214	-0.00531274	0.134565	1463.76	3393.27	0.000501002	2
0.4339	0.602885	1.20572	-0.50764	0.656142	0.59734	4290.79	11874.4	0.000501002	2
0.428303	0.606494	1.24975	-0.851524	0.881362	0.294796	3616.39	9851.16	0.000501002	2
0.42589	0.608191	1.29563	-1.01192	0.9766	0.0447735	2642.38	6929.13	0.000501002	2
0.425084	0.609674	1.34319	-1.06771	1.06495	-0.0855238	1719.56	4160.68	0.000501002	2
0.423916	0.610785	1.3974	-1.14124	1.13372	0.190972	1313.04	2941.11	0.000501002	2
0.32268	0.47849	1.32007	-1.42277	-0.933819	13.8458	1186.44	2561.31	0.000501002	2
0.320978	0.539331	1.32037	-1.52262	-0.198811	13.9319	1494.97	3486.9	0.000501002	2
