Xmin	Xmax	Ymin	Ymax	Zmin	Zmax
-0.153094	2.15309	-0.153094	2.15309	0.846906	9.45928	
x	y	z	U	V	W	Ro	P	Vol	Num
0.428469	0.414216	1.11391	-0.80929	-1.519	0.267212	1467.2	3403.59	0.000501002	2
0.36785	0.413151	1.38976	-1.37446	-1.63866	13.8591	1011.58	2036.73	0.000501002	2
0.423543	0.413192	1.38927	-1.03942	-1.63373	13.8931	1618.39	3857.17	0.000501002	2
0.430024	0.416612	1.2277	-0.783708	-1.45436	6.21773	2107.8	5325.41	0.000501002	2
0.42524	0.411088	1.15352	-0.966303	-1.69185	0.0634752	1892.55	4679.65	0.000501002	2
0.370277	0.476488	1.11344	-1.2603	-0.870838	0.240657	1442.37	3329.12	0.000501002	2
0.375098	0.542459	1.11149	-1.03607	-0.0201996	0.123804	1810.8	4434.39	0.000501002	2
0.371141	0.544158	1.14969	-1.17669	0.0968043	-0.197312	2460.23	6382.68	0.000501002	2
0.370501	0.608665	1.11277	-1.27089	0.856238	0.205542	1434.11	3304.33	0.000501002	2
0.438109	0.486023	1.111	-0.353579	-0.384285	0.145959	2459.32	6379.95	0.000501002	2
0.436931	0.482886	1.14826	-0.359828	-0.52743	-0.225749	3400.07	9202.2	0.000501002	2
0.441876	0.542647	1.11011	-0.181216	-0.00720589	0.104943	2722.08	7168.25	0.000501002	2
0.441984	0.543324	1.14576	-0.114827	0.0480084	-0.339601	3834.69	10506.1	0.000501002	2
0.438356	0.598552	1.11039	-0.343007	0.336142	0.105473	2452.87	6360.61	0.000501002	2
0.43693	0.603549	1.14866	-0.357395	0.603155	-0.203933	3364.45	9095.35	0.000501002	2
0.429577	0.670737	1.11228	-0.773596	1.51747	0.211834	1461.91	3387.74	0.000501002	2
0.365542	0.54189	1.2153	-1.37396	-0.0077091	0.915315	2427.82	6285.46	0.000501002	2
0.359624	0.542228	1.26303	-1.67012	0.0190604	0.961506	2192.84	5580.52	0.000501002	2
