Xmin	Xmax	Ymin	Ymax	Zmin	Zmax
-0.153094	2.15309	-0.153094	2.15309	0.846906	9.45928	
x	y	z	U	V	W	Ro	P	Vol	Num
0.541037	0.435489	1.18028	-0.0908449	-0.638336	13.6151	4502.61	12509.8	0.000501002	2
0.54142	0.437873	1.13345	-0.0605407	-0.484535	6.23752	4430.75	12294.3	0.000501002	2
0.542765	0.436929	1.1075	0.0613822	-0.530293	0.647375	4435.44	12308.3	0.000501002	2
0.542861	0.435978	1.14882	0.0830105	-0.6101	0.109398	4393.51	12182.5	0.000501002	2
0.592729	0.435379	1.18021	0.084462	-0.652079	13.6234	4296.64	11891.9	0.000501002	2
0.591333	0.437319	1.13361	-0.00632044	-0.530464	6.25205	4240.35	11723	0.000501002	2
0.592736	0.436414	1.10764	0.118877	-0.574948	0.661208	4236.22	11710.7	0.000501002	2
0.593783	0.435411	1.14964	0.221912	-0.659752	0.177665	4120.87	11364.6	0.000501002	2
0.644439	0.435363	1.18039	0.284142	-0.663567	13.6695	3584.36	9755.09	0.000501002	2
0.642995	0.436511	1.13432	0.198237	-0.599918	6.30556	3565.86	9699.58	0.000501002	2
0.645666	0.435346	1.10802	0.417038	-0.664886	0.686134	3522.79	9570.38	0.000501002	2
0.647204	0.434329	1.15203	0.563258	-0.751805	0.376608	3245.9	8739.7	0.000501002	2
0.695744	0.435738	1.18093	0.47198	-0.643142	13.7367	2404.55	6215.66	0.000501002	2
0.489028	0.434807	1.1992	-0.301973	-0.711849	0.209392	2777.8	7335.41	0.000501002	2
0.487807	0.43377	1.24856	-0.405806	-0.801334	0.194941	1975.15	4927.45	0.000501002	2
0.541943	0.435726	1.19805	-0.00212347	-0.629145	0.111511	3101.58	8306.74	0.000501002	2
0.541897	0.43453	1.24776	-0.00652468	-0.73583	0.126257	2285.1	5857.29	0.000501002	2
0.541943	0.432977	1.29928	-0.00249838	-0.868166	0.305166	1795.34	4388.03	0.000501002	2
0.595142	0.435113	1.19904	0.324781	-0.682324	0.19329	2781.05	7345.14	0.000501002	2
0.596179	0.433937	1.24847	0.410359	-0.7858	0.185507	1976.25	4930.76	0.000501002	2
0.489303	0.489026	1.17935	-0.261953	-0.28706	13.5111	5941.91	16827.7	0.000501002	2
0.492195	0.491551	1.13161	-0.0579455	-0.11088	6.10018	5759.54	16280.6	0.000501002	2
0.493781	0.493011	1.10705	0.0885984	0.0304799	0.610541	5847.3	16543.9	0.000501002	2
0.493267	0.492394	1.14926	0.0558027	-0.0169165	0.141641	5834.35	16505	0.000501002	2
0.488918	0.541256	1.17964	-0.294251	-0.0712112	13.5264	6335.52	18008.6	0.000501002	2
0.49225	0.541545	1.13192	-0.0578941	-0.047105	6.12789	6092.75	17280.2	0.000501002	2
0.494354	0.542738	1.107	0.133183	0.0631728	0.608615	6168.81	17508.4	0.000501002	2
0.494139	0.542552	1.14888	0.128805	0.0545462	0.111644	6198.67	17598	0.000501002	2
0.488809	0.593272	1.17929	-0.307818	0.127883	13.5144	5956.3	16870.9	0.000501002	2
0.491954	0.591559	1.13189	-0.0837451	0.0168214	6.12307	5771.36	16316.1	0.000501002	2
0.494093	0.592609	1.10692	0.113645	0.107818	0.599798	5832.66	16500	0.000501002	2
